id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,bL(L) #post,bL(L) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,7,,145,48,323658271
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,3,2,503,137,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,7,3,232,63,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,6,3,318,79,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,5,543,157,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,9,,271,76,475403925
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,10,3,142,48,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,5,2,478,145,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,8,1,73,34,377339671
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,3,,259,53,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,248,35,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,7262,15,4356555624
425276848,DPM_L,,DPM,Traced,30007,7088,6728,1648,5333,1048,6483095365
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,4,1,153,38,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,18,1,274,76,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,13,7,592,167,846161332
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,2,4,1,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,12,3,327,58,279368748
488322846,SMP128_L,,SMP128,Traced,310,261,10,14,,2,319243147
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,17,2,3,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,16,5,5,1,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,239,48,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,30,19,,2,478509017
548730034,,,,Traced,766,317,9,,,1,401180057
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,48,,4739,13,758606595
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,22,4,673,214,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,27,3,747,147,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,17,3,1554,243,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,12,2,1454,296,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,17,9,3,2,399312668
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,22,2,837,170,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,4,1,310,89,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,5,,349,83,200058563
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,1,201,49,261596710
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,19,3,594,167,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,22,6,356,113,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,5,,259,58,279472747
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,164,76,,1,318884796
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,19,1,213,78,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,11,2,597,150,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,10,1,562,114,220213685
693927941,ALIN1_R,,ALIN1,Traced,1553,406,22,22,147,37,2113783525
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,12,2,364,75,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,11,,997,184,311089027
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,3,,97,35,357006298
767494105,KCab-p_R,,KCab-p,Traced,633,218,11,3,57,26,365582357
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,24,3,379,73,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,13,4,303,82,135248805
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,143,32,141,30,159577026
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,14,7,37,9,104991789
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,9,1,776,135,486729507
984799284,CRE060_R,,CRE060,Traced,844,393,6,3,,1,738647628
1015622418,,,,Traced,809,407,15,13,,2,235779801
1016166928,,,,Traced,202,385,4,6,,1,299158941
1016611275,(PVL05)_L,,,Traced,934,741,6,,1,1,614564619
1016805008,KCab-p_R,,KCab-p,Traced,703,242,1,,81,37,378892564
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,94,1,84,2,2083130629
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,10,,1163,173,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,11,4,2,1,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,22,5,465,136,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,7,3,230,61,430816435
1050585709,PAM03(B2B'2a)_R,,PAM03,Traced,336,80,22,13,114,28,149916255
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,17,4,,2,551823489
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,18,2,1226,206,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,4,1,98,24,135784276
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,17,4,94,24,96768615
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,17,5,5,1,339562986
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,6,4,812,203,720192159
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,20,1,728,126,258964557
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,9,4,647,130,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,23,5,391,77,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,8,1,598,114,408798680
1170408975,,,,Traced,311,135,311,134,,1,112556455
1171768085,,,,Traced,485,252,29,16,3,2,143880669
1200743872,,,,Traced,215,90,215,89,,1,80244542
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,11,2,743,137,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,13,1,690,113,444720536
1205216792,,,,Traced,885,362,43,19,1,1,248160128
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,15,3,2,2,659070629
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,44,10,180,59,239327987
1234230912,,,,Traced,310,104,309,100,,1,84726829
1262817736,,,,Traced,193,75,184,74,9,1,64333272
1262822280,,,,Traced,287,105,286,104,,1,85743759
1263150527,KCa'B'_L?,,,Traced,243,99,170,64,1,1,106535146
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,21,7,239,47,145351462
1265261328,KCa'B'_L?,,,Traced,238,107,178,77,,2,94529484
1293507172,,,,Traced,189,75,187,74,1,1,60026139
1293511697,,,,Traced,261,101,257,98,1,1,74716735
1293516188,,,,Traced,221,69,221,68,,1,68274729
1293524890,KCa'B'_L?,,,Traced,248,95,133,50,2,1,101623491
1293865654,,,,Traced,224,75,222,74,2,1,70282081
1294185362,,,,Traced,238,86,237,84,1,1,73400895
1294206758,,,,Traced,184,72,183,71,1,1,63937349
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,9,,184,48,225739136
1295912040,,,,Traced,418,142,3,1,,1,93485498
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,8,1,535,136,472380184
1324218580,,,,Traced,206,69,204,68,2,1,59560856
1324564234,,,,Traced,147,45,143,44,4,1,58021310
1324896347,,,,Traced,247,75,239,73,6,1,68684705
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,19,2,502,146,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,12,3,218,67,355086914
1357321396,,,,Traced,121,61,116,60,3,1,41314832
1357325785,,,,Traced,176,59,7,1,167,58,45871572
1357662534,,,,Traced,230,92,12,4,218,88,51576173
1358003595,,,,Traced,169,61,1,,168,61,34160131
1358003625,,,,Traced,129,55,2,1,127,54,32243203
1358003629,,,,Traced,121,68,1,3,120,65,31932822
1358003652,,,,Traced,190,72,5,2,185,70,40487625
1358003654,,,,Traced,156,60,2,1,153,59,32711318
1358003660,,,,Traced,194,68,2,,192,68,42980661
1358003697,,,,Traced,147,65,3,2,144,63,35583682
1358007692,,,,Traced,705,63,2,,700,63,84121598
1358007728,,,,Traced,168,61,2,1,165,60,38594065
1358007750,,,,Traced,153,55,6,2,147,53,37173376
1358007777,,,,Traced,164,64,1,1,161,62,41374187
1358007839,,,,Traced,160,75,6,,154,75,34751496
1358007840,,,,Traced,130,57,1,,129,57,26948605
1358007843,,,,Traced,226,77,11,1,215,76,51035066
1358007857,,,,Traced,144,62,4,3,140,59,36132638
1358012014,,,,Traced,166,59,6,2,160,57,36803950
1358344644,,,,Traced,162,70,1,,161,70,40472904
1358348803,,,,Traced,201,83,4,2,197,79,50443033
1358348850,,,,Traced,151,55,1,,150,55,36398873
1358348941,,,,Traced,128,56,3,1,119,52,36659557
1358353097,,,,Traced,190,63,1,,188,63,43860510
1358353131,,,,Traced,163,72,7,3,156,69,37279110
1358357466,,,,Traced,229,76,6,2,223,74,45869797
1358685642,,,,Traced,203,70,8,,194,69,50064268
1358694192,,,,Traced,161,63,2,1,159,62,37459129
1358694219,,,,Traced,166,59,2,2,164,57,41226151
1358698413,,,,Traced,198,67,3,2,195,65,49214649
1358698461,,,,Traced,240,81,5,1,235,80,50871205
1386975092,,,,Traced,162,69,3,3,159,66,40815924
1387324647,,,,Traced,115,55,1,1,114,54,37477504
1387324803,,,,Traced,170,64,15,5,155,59,45207491
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,13,3,175,48,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,40,14,228,59,193662875
1387665837,,,,Traced,166,55,9,,157,55,39802364
1388356258,,,,Traced,273,20,7,,266,20,25640858
1388693197,,,,Traced,152,57,1,,151,57,30638854
1388697099,,,,Traced,172,60,1,1,171,59,40419645
1388697542,,,,Traced,156,63,1,,155,63,30324350
1388706333,,,,Traced,153,72,3,3,150,69,36922988
1388706548,,,,Traced,560,52,1,1,554,51,75136692
1389029776,,,,Traced,944,82,1,,943,82,107990582
1389029807,,,,Traced,143,70,3,1,140,69,31622005
1389034086,,,,Traced,1450,155,13,,1424,155,172422349
1389034092,,,,Traced,114,71,2,2,112,69,31962972
1389038375,,,,Traced,135,64,2,,133,64,34847251
1389038376,,,,Traced,105,64,4,2,101,62,28246893
1389038377,,,,Traced,131,60,1,1,130,59,30106174
1389370832,,,,Traced,105,60,3,1,102,59,27836434
1389370949,,,,Traced,160,71,2,1,158,70,37296522
1389383632,,,,Traced,220,73,18,4,198,66,46734846
1389383830,,,,Traced,117,51,2,1,115,50,30645731
1389387935,,,,Traced,215,19,6,,199,17,29710065
1389716254,,,,Traced,122,51,3,,119,50,29646169
1389720662,,,,Traced,141,54,7,2,134,52,23927834
1418001281,,,,Traced,148,78,1,,147,78,44626075
1418005570,,,,Traced,169,57,7,,161,56,41505551
1418009871,,,,Traced,214,77,4,2,210,75,50716490
1418013722,,,,Traced,168,71,2,1,166,70,45444010
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,2,1,226,61,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,88,29,6190229391
1419007201,,,,Traced,74,40,4,6,70,34,24198657
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,10,1,570,92,383407340
1419024366,,,,Traced,145,53,1,,140,51,42347535
1419033151,,,,Traced,141,60,1,,139,60,37108892
1419041597,,,,Traced,168,72,3,1,165,70,42692128
1419369823,,,,Traced,129,51,2,1,127,50,30397781
1419727927,,,,Traced,168,67,1,1,167,66,33525492
1419732022,,,,Traced,102,49,3,1,99,47,25168297
1420073258,,,,Traced,1156,105,3,,1153,105,127663885
1420082185,,,,Traced,103,52,4,2,98,48,28880766
1420082189,,,,Traced,129,54,2,2,127,52,34837267
1420755481,,,,Traced,116,58,11,4,105,54,29658537
1421087862,,,,Traced,198,69,1,,197,69,43075358
1449381432,,,,Traced,144,64,7,2,137,62,34031882
1449704866,,,,Traced,117,49,3,3,114,46,25204823
1449705038,,,,Traced,75,46,5,1,70,45,26156125
1450037306,,,,Traced,147,60,7,3,137,52,30719312
1450386947,,,,Traced,121,54,3,1,118,53,28279384
1450767010,,,,Traced,124,54,4,1,120,53,30180876
1481776067,,,,Traced,93,38,4,5,89,33,22601378
5812979616,,,,Traced,179,77,178,76,1,1,60815554
5812979789,,,,Traced,123,67,1,1,121,66,37393428
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,4,1,55,30,431109241
5812981868,,,,Traced,137,65,2,3,134,61,43086952
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,14,3,422,83,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,10,3,2,4,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,33,18,70,11,151824685
5812996052,,,,Traced,609,368,11,13,197,63,688274394
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,11,3,5,2,248528210
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,806,4,8835,81,3410455915
5813032593,,,,Traced,180,53,174,52,6,1,68630842
5813054270,,,,Traced,706,62,11,,695,62,76294715
5813056180,,,,Traced,278,99,274,97,,1,101246071
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,3,,4,1,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,4,1,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,181,14,11148,221,2038784377
5813062604,,,,Traced,145,62,5,4,140,58,40821962
5813075810,,,,Traced,136,60,1,,135,60,31389319
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,12,3,276,74,547363626
5813087625,,,,Traced,951,208,5,7,943,196,126240451
5813091744,KCab-p_R,,KCab-p,Traced,635,285,8,2,44,19,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,18,2,1283,208,324522133
5901193007,,,,Traced,126,56,1,1,125,55,31105317