id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
1141692008,PAM08_a(y4)_R,,PAM08_a,Traced,1126,202,3,,659,151,370793520
1141972202,KCg-m_R,,KCg-m,Traced,815,267,13,5,540,209,420915787
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,7,4,359,206,426294048
1142356576,PAM08_a(y4)_R,,PAM08_a,Traced,995,194,4,,591,160,343199907
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,6,,508,112,393275875
1142658717,KCg-m_R,,KCg-m,Traced,697,264,1,1,461,214,372743702
1169657925,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,226,273,127,16,6,411320098
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,350,147,6,3,448903191
1169989859,PAM05(B'2p)_R,,PAM05,Traced,624,255,203,131,42,18,326669074
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,309,147,5,6,420909311
1170326295,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,726,297,386,168,4,5,498227413
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,309,134,37,23,393635014
1170344185,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,715,259,382,161,6,3,452309484
1170400248,APL fragment?,,,Traced,2026,235,481,47,19,3,293828523
1170667130,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,315,374,179,12,8,514238091
1171431567,PAM01_a(y5)_L,,PAM01_a,Traced,1015,141,10,,264,39,302471572
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,653,119,78,12,324421746
1171690479,PAM05(B'2p)_R,,PAM05,Traced,1518,294,520,169,132,28,385559301
1172031461,PAM08_c(y4)_R,,PAM08_c,Traced,1912,251,13,3,901,152,387429139
1172372291,KCg-m_R,,KCg-m,Traced,625,196,1,,402,159,338314005
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,644,145,57,6,330410034
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,1,,151,36,317578750
1172665846,KCg-m_R,,KCg-m,Traced,895,281,18,3,552,221,308381801
1172713521,KCg-s1(super)_R,,KCg-s1,Traced,2551,826,25,13,1669,734,1054848410
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,164,35,120,15,311773637
1173016042,KCg-m_R,,KCg-m,Traced,706,241,12,5,419,199,346336785
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,2,1,579,126,396639821
1173347968,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,225,315,139,19,6,420189546
1174008477,KCg-m_R,,KCg-m,Traced,805,254,5,1,474,202,371070877
1175070762,KCg-d_R,,KCg-d,Traced,646,251,10,3,429,188,369691167
1200351169,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,664,250,339,127,2,2,445817696
1200683283,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,518,220,291,132,9,3,425677562
1201028519,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,623,236,392,162,34,24,434693605
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,314,139,24,14,404305308
1202060409,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,262,357,153,22,13,450169171
1202673723,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,244,312,146,5,3,432305951
1202737975,KCg-m_R,,KCg-m,Traced,754,271,8,3,527,228,371682997
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,15,,371,116,320100027
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,245,123,11,3,411264180
1204124270,PAM01_a(y5)_R,,PAM01_a,Traced,1841,147,18,,902,99,360645236
1204124281,KCg-d_R,,KCg-d,Traced,564,188,2,,367,139,330641650
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,4,,999,150,429243268
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,299,141,8,3,366409907
1204447548,KCg-m_R,,KCg-m,Traced,723,224,1,,430,184,392214550
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,2,151,50,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,3,,198,74,228273943
1205225146,PAM12(y3)_L,,PAM12,Traced,900,201,4,1,188,65,297353925
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,1,,358,78,308877449
1224137495,KCg-s3_R,,KCg-s3,Traced,1161,409,25,12,796,320,637070643
1231735257,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,204,298,102,6,5,424144752
1233428010,PAM01_a(y5)_R,,PAM01_a,Traced,1101,172,10,1,559,127,371802936
1233436479,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1278,153,157,19,639,94,294637816
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,447,87,28,2,294286432
1233773217,PAM01_a(y5)_R,,PAM01_a,Traced,1341,162,16,,748,128,319599604
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,43,,24,2,1466363330
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,12,2,594,113,273212378
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,10,1,288,54,240889204
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,9,1,207,59,216360555
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,11,,846,99,416278069
1267164975,KCg-m_R,,KCg-m,Traced,793,234,8,2,472,196,251292043
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,330,143,7,4,446959185
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,6,2,51,18,225739136
1313496027,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,273,262,135,9,9,428214535
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,1,,549,132,354276543
1388585088,KCab-p_R,,KCab-p,Traced,635,220,2,1,2,1,352744706
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,4,2,,1,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,77,35,6190229391
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,244,95,1,1,407157814
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,566,66,331,51,321368178
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,5,,318,46,259131792
5812979175,KCg-m_R,,KCg-m,Traced,761,212,1,,501,174,353700102
5812979176,KCg-m_R,,KCg-m,Traced,688,232,1,,408,195,266463309
5812979271,PAM06_a(B'2m)_R,,PAM06_a,Traced,1215,314,508,194,,1,434263984
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,3,1,367,42,291541065
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,1,,136,35,240183413
5812979560,PAM01_a(y5)_L,,PAM01_a,Traced,1468,128,1,,415,44,284303946
5812980425,KCab-s_R,,KCab-s,Traced,601,213,1,1,4,2,254520884
5812980579,KCg-m_R,,KCg-m,Traced,851,264,1,,499,218,389390956
5812980973,KCg-m_R,,KCg-m,Traced,771,245,4,,530,216,356405254
5812981046,KCg-t_R,,KCg-t,Traced,572,187,1,,371,147,357596550
5812981160,KCg-m_R,,KCg-m,Traced,911,269,1,,546,218,407533415
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,335,160,15,8,447193387
5812981240,CRE064_R,,CRE064,Traced,492,198,1,,,1,357393687
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,332,130,4,5,474294817
5812981279,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,232,315,120,2,1,449082312
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,305,122,5,4,451840346
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,320,161,4,2,446321131
5812981339,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,634,214,318,127,21,14,426256262
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,404,186,17,12,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,344,122,23,12,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,346,151,17,11,441656257
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,2,1851,299,3349981626
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,339,121,1,1,455420889
5812981553,KCa'b'-m_R,,KCa'b'-m,Traced,647,237,310,125,19,5,409831606
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,356,130,5,3,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,329,122,16,7,391061782
5812981586,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,598,237,322,136,17,9,424512481
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,313,82,6,1,404873540
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,57,21,247,59,253723732
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,396,101,3,6,328939713
5812981717,KCg-m_R,,KCg-m,Traced,808,263,1,,426,193,411349848
5812981858,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,261,323,158,6,3,481499224
5812981924,KCg-m_R,,KCg-m,Traced,756,254,1,1,447,202,345875249
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,299,106,13,6,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,270,119,3,1,464186591
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,294,140,11,10,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,320,111,10,7,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,294,103,8,3,399100731
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,253,121,,1,311663944
5812982216,KCg-m_R,,KCg-m,Traced,788,256,1,,494,225,366506869
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,295,114,7,5,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,329,121,25,17,408201604
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,306,123,,3,419710605
5812982436,KCg-m_R,,KCg-m,Traced,779,249,8,5,474,203,354659380
5812982442,KCg-m_R,,KCg-m,Traced,828,258,6,1,501,200,382934901
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,3,1,363758686
5812982547,KCg-t_R,,KCg-t,Traced,586,198,1,,375,158,223676343
5812982579,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,492,173,322,125,30,20,410959307
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,347,101,4,4,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,315,119,8,4,418473741
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,321,27,603,99,343660367
5812982780,KCab-p_R,,KCab-p,Traced,700,235,4,1,3,1,384605451
5812982823,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,212,316,126,16,13,396676348
5812982832,KCg-m_R,,KCg-m,Traced,727,231,1,1,456,187,351930359
5812982876,KCg-m_R,,KCg-m,Traced,773,227,1,,489,188,321324976
5812983009,KCg-m_R,,KCg-m,Traced,757,230,2,1,450,176,354509134
5812983147,KCg-m_R,,KCg-m,Traced,919,285,3,,638,252,351871022
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,306,114,8,4,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,300,124,10,4,436809854
5812983544,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,675,237,335,128,17,8,426100093
5812983569,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,559,251,305,138,7,4,392759583
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,310,151,23,11,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,395,153,9,8,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,353,176,15,12,453811862
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,301,115,6,1,415440030
5812983871,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,209,320,111,10,5,408605251
5812983899,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,641,216,331,106,11,6,347569779
5812983903,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,554,225,308,110,20,15,444087728
5812984045,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,679,240,319,119,11,4,439989491
5812987762,KCg-m_R,,KCg-m,Traced,705,198,2,1,445,172,325691310
5813019850,CRE048_R,,CRE048,Traced,5674,1107,3,,483,2,2306300526
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,325,122,26,10,434014408
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,356,169,17,13,472995790
5813020132,KCg-m_R,,KCg-m,Traced,778,236,5,1,418,175,345391815
5813020271,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,710,232,318,122,3,2,452528827
5813020424,PAM12(y3)_L,,PAM12,Traced,842,136,4,,204,44,274285169
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,3,2,11,7,2685199565
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,277,136,4,3,441153613
5813021275,KCg-m_R,,KCg-m,Traced,789,216,1,,489,174,374785122
5813021659,KCg-m_R,,KCg-m,Traced,772,220,2,1,416,172,353080116
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,290,112,12,2,454869357
5813021748,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,195,326,99,3,1,447453187
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,386,160,7,7,478993126
5813021806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,627,237,343,143,3,2,475435410
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,331,167,14,5,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,327,161,17,9,467946092
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,307,154,20,9,464717750
5813021822,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,265,372,153,17,14,482821942
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,1,2,367,84,241663552
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,346,154,9,8,485815034
5813021865,KCg-m_R,,KCg-m,Traced,911,250,15,4,562,199,390695586
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,365,150,17,7,431474709
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,,10282,170,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,443,96,5741,2062,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,44,2,10458,28,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,18,2,202,33,240799955
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,54,44,1010,471,975624467
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,311,94,5,3,388570181
5813032874,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,326,120,6,3,455255692
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,349,124,8,5,519684879
5813032887,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,598,197,296,113,26,14,419825635
5813032896,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,689,216,377,117,12,8,404784077
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,321,126,10,6,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,4,2,3,6,339903729
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,369,70,45,11,281021176
5813033208,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,704,219,380,107,13,7,435229410
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,60,21,51,15,288587422
5813035267,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,644,259,319,157,7,8,511057661
5813035612,KCg-m_R,,KCg-m,Traced,859,273,1,,540,224,395394691
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,318,148,25,15,463866310
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,10,,162,27,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,180,27,54,7,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,9,6,37,4,3046434158
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,265,120,6,4,427955175
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,321,125,10,5,431318660
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,292,145,19,6,420504766
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,337,142,11,4,452964728
5813056183,KCg-d_R,,KCg-d,Traced,600,223,16,9,418,186,360853469
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,322,110,1,1,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,345,143,10,7,436927867
5813056309,KCg-m_R,,KCg-m,Traced,825,283,25,8,523,218,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,321,102,9,1,403944266
5813056414,KCg-m_R,,KCg-m,Traced,673,211,29,8,415,159,349509259
5813057210,KCg-m_R,,KCg-m,Traced,848,239,1,,519,190,360010861
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,359,103,17,6,405376444
5813057867,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,587,246,349,171,5,3,399817341
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,412,162,7,3,450117799
5813057956,KCg-m_R,,KCg-m,Traced,772,230,2,,455,180,356908730
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,14,1,6392,21,2345461437
5813058215,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,248,341,129,6,6,430406202
5813059951,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,240,250,107,13,7,422392882
5813060643,KCab-p_R,,KCab-p,Traced,681,264,7,2,2,2,369871738
5813060663,KCg-m_R,,KCg-m,Traced,687,206,4,1,426,166,376076661
5813060817,PAM12(y3)_L,,PAM12,Traced,768,170,1,,192,66,308095871
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,84,55,3486100136
5813061597,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,640,250,342,148,8,8,475789178
5813062565,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,257,333,167,8,5,425676562
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,1,,55,1,3621432113
5813063224,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,611,232,314,127,14,5,445344768
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,300,145,12,8,436486264
5813064427,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,652,297,356,187,20,13,430438345
5813067826,KCg-d_R,,KCg-d,Traced,869,324,5,3,570,268,380946615
5813068692,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,682,233,328,113,1,1,431484345
5813068984,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,583,252,293,140,25,18,437165853
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,331,116,10,5,364741205
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,2,3,368,72,332652814
5813070581,KCg-m_R,,KCg-m,Traced,763,244,4,1,483,198,352307064
5813070672,KCg-m_R,,KCg-m,Traced,719,237,21,3,456,194,398858277
5813077575,KCg-d_R,,KCg-d,Traced,625,242,3,2,470,205,361698810
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,308,127,,1,446715176
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,337,124,11,8,453604666
5813078053,KCab-s_R,,KCab-s,Traced,691,238,1,,2,2,268635703
5813078179,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,628,267,331,129,8,13,438465584
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,276,117,8,7,472655195
5813078679,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,697,252,364,150,30,15,446899629
5813079050,KCg-m_R,,KCg-m,Traced,688,239,5,2,460,196,334513328
5813080766,KCg-m_R,,KCg-m,Traced,853,271,3,1,528,225,275053843
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,2,,101,24,167259973
5813083779,CRE022_R,,CRE022,Traced,8464,1155,5,,370,3,2658194530
5813084505,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,463,222,241,140,1,1,360084803
5813084692,KCg-m_R,,KCg-m,Traced,825,283,1,,444,207,387026360
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,1,,361,104,444049069
5813091021,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,574,258,330,158,20,15,416182724
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,300,135,11,6,434717676
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,194,51,463,82,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,703,155,34,5,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,3,,314,113,354860104
5813104096,KCg-m_R,,KCg-m,Traced,793,251,6,5,469,209,248289962
5813105172,DPM_R,,DPM,Traced,77269,17628,13555,3386,24376,5774,15191654896
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,2,,768,139,357750093
5813110459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,606,264,284,149,27,22,432471519
5813111042,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,501,225,287,131,5,6,388725384
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,349,186,5,7,434542432
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,58,,4012,8,1674077310
5813126042,,,,Traced,165,108,5,,11,1,97518482
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,16,1,121,4,1200274635
5901213440,CRE011_R,,CRE011,Traced,19674,2149,7,,193,8,5844952800
7112626196,,,,Assign,163,25,1,,162,25,33343242