id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,gL(L) #post,gL(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,15,6,12,1,1973521252
298258513,SMP108_R,,SMP108,Traced,23289,2753,171,,5,4,5584315251
299289811,SMP146_R,,SMP146,Traced,5080,1011,20,4,22,15,2562854346
328601956,CRE105_R,,CRE105,Traced,1995,492,38,2,36,14,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,644,151,6917059458
361376643,CRE025_R,,CRE025,Traced,3432,545,14,,2,1,1813320802
393404592,SMP127_R,,SMP127,Traced,2570,648,6,,13,4,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4814,1090,5,1,5117109108
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,19,35,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,19,1,51,2,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,1336,329,16559,4033,6483095365
455159380,PAM01_b(y5)_R,,PAM01_b,Traced,1311,162,722,112,259,39,330101101
456174330,PAM01_b(y5)_R,,PAM01_b,Traced,797,133,405,93,110,32,279536002
456523994,SMP165_R,,SMP165,Traced,1962,465,15,3,25,5,1120887108
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,33,1,54,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,14,6,10,5,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,827,100,392,50,380174418
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,594,121,223,42,322182562
488581156,(MBDLaxon2),,,Traced,989,933,8,3,4,1,1178319505
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,73,84,64,104,1964048244
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,14,7,15,5,3738265959
519279166,CRE027_L,,CRE027,Traced,2134,327,23,6,41,10,973318320
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,710,103,394,47,341998412
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,330,44,679,111,305318308
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,2,1,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,2,7,12,2,1064093786
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,909,198,274,58,417405171
581060581,CRE027_R,,CRE027,Traced,1821,325,35,3,194,24,1320584874
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,651,132,113,27,343929818
582101022,SMP116_R,,SMP116,Traced,3184,702,1,1,3,4,1840967376
582355376,PAM08_e(y4)_R,,PAM08_e,Traced,640,136,311,107,72,19,285136614
610312734,CRE023_R,,CRE023,Traced,3901,1023,49,5,18,3,2864705468
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,20,22,4,4,791330474
612422902,MBON25(y1y2)_R,,MBON25,Traced,395,181,4,,68,2,491944011
612440702,PAM01_b(y5)_L,,PAM01_b,Traced,695,152,119,27,455,118,243491946
612755343,CRE023_L,,CRE023,Traced,2297,801,24,1,34,1,2214780944
613040803,CRE049_R,,CRE049,Traced,2229,750,19,9,6,5,1511757943
613083375,CRE032_L,,CRE032,Traced,918,233,339,17,3,2,653637060
613398716,PAM01_b(y5)_R,,PAM01_b,Traced,757,143,389,112,73,23,287310191
613420343,SMP056_R,,SMP056,Traced,2563,469,213,1,33,2,1649344502
613835634,PAM01_b(y5)_L,,PAM01_b,Traced,393,131,54,23,285,105,212670007
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,310,36,800,95,321942494
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,362,52,914,104,328254208
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,61,12,137,15,299806071
643794320,CRE029_a_R,,CRE029_a,Traced,1062,344,10,23,10,16,777368664
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,37,1,5,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,15,5,91,6,583473753
644870768,PAM01_a(y5)_L,,PAM01_a,Traced,935,143,157,33,591,110,315394433
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,315,48,644,96,255879136
673509195,MBON01(y5B'2a)_L,,MBON01,Traced,29244,2205,25,,22344,28,6713237576
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,246,52,373,96,214397229
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,5,2,1,2,836699232
675187509,CRE033_R,,CRE033,Traced,698,177,3,16,8,2,611705625
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,29,4,46,4,739581338
675528661,CRE024_R,,CRE024,Traced,4337,984,56,,179,1,2090195593
676263239,PAM01_a(y5)_L,,PAM01_a,Traced,1358,128,350,37,809,90,317801168
706862579,CRE059_R,,CRE059,Traced,1466,552,3,,3,1,1186755402
735134301,PAM08_c(y4)_R,,PAM08_c,Traced,2043,270,964,189,412,78,383789277
735470654,AVLP563_R,,AVLP563,Traced,3287,876,8,6,3,1,2355820571
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,13,12,21,12,1598047565
760690116,CRE066_R,,CRE066,Traced,934,533,1,,3,4,937265171
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,298,76,497,119,337662143
800303089,PPL108_R,,PPL108,Traced,5875,2272,23,2,,2,2618373937
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,312,89,388,131,440919426
830034406,LAL154_R,,LAL154,Traced,2561,825,4,,58,1,1562703817
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,33,5,71,8,710680979
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,369,110,197,74,402053568
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,200,81,366,128,258249835
893754136,(MBDLaxon2),,,Traced,2509,1179,13,6,21,1,3754329882
893805187,PAM08_e(y4)_L,,PAM08_e,Traced,529,146,88,24,295,96,333510589
917919724,CRE066_R,,CRE066,Traced,605,431,4,,6,2,706765280
923415956,SMP165(AVM07)_L,,SMP165,Traced,1476,437,15,,4,1,833177546
924429714,PAM08_b(y4)_R,,PAM08_b,Traced,1917,289,770,186,332,75,417638669
925241334,LAL155_R,,LAL155,Traced,3211,604,2,,7,4,1395981955
925799233,PAM01_b(y5)_R,,PAM01_b,Traced,826,142,400,107,118,30,306649148
953755666,LHAV9a1_c_R,,LHAV9a1_c,Traced,496,241,9,,9,1,429926220
954528474,PAM08_c(y4)_L,,PAM08_c,Traced,1738,298,442,87,986,200,337379008
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,257,78,256,95,382633721
956138930,PAM08_a(y4)_R,,PAM08_a,Traced,1129,197,653,157,122,36,350478437
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,265,59,362,93,332844630
984453829,,,,Traced,659,689,4,1,3,3,584836699
984536209,LAL100_R,,LAL100,Traced,3609,1173,5,4,13,3,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,1,,18,2,540136093
984799284,CRE060_R,,CRE060,Traced,844,393,8,1,67,34,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,40,8,45,8,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,17,2,35,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,46,12,8437,41,2278694286
985818067,,,,Traced,176,317,26,12,34,31,271365706
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,13,5,4,3,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,13,6,108,28,294789403
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,757,144,95,30,386116617
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,6,9,19,20,4703423471
1015825657,,,,Traced,168,299,12,11,5,3,271480057
1016166622,CRE067_R,,CRE067,Traced,1039,396,219,3,43,15,735317516
1016166928,,,,Traced,202,385,30,4,13,18,299158941
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,60,6,13692,266,2083130629
1017880794,,,,Traced,269,499,41,,39,3,582186870
1019024473,PAM07(y4<y1y2)_L,,PAM07,Traced,573,170,90,38,425,131,263160144
1019347828,PAM08_a(y4)_L,,PAM08_a,Traced,719,179,110,27,520,150,228381303
1043151516,,,,Traced,156,246,1,,,8,889810212
1046506683,CRE066(AVM16)_L,,CRE066,Traced,398,465,1,,12,2,373177564
1047210325,,,,Traced,258,404,21,2,39,22,324251843
1047525093,PAM01_a(y5)_R,,PAM01_a,Traced,1849,155,877,112,400,42,376757647
1047887562,CRE068_R,,CRE068,Traced,594,325,2,,31,11,562548941
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,5046,2005,1407,485,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,34,8,13331,335,2226046804
1048250312,LAL155_R,,LAL155,Traced,2385,591,2,,2,1,1317529596
1050249677,PAM07(y4<y1y2)_R,,PAM07,Traced,1208,179,869,149,78,29,419404915
1051630846,PAM08_e(y4)_R,,PAM08_e,Traced,990,163,727,129,80,23,368736251
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,17278,206,47,1,2791162363
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,155,52,218,74,283506292
1081434698,PAM07(y4<y1y2)_L,,PAM07,Traced,736,186,88,30,533,150,257320792
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,841,118,264,37,437796532
1110307501,PAM08_b(y4)_R,,PAM08_b,Traced,1379,227,461,129,261,62,318277000
1110640084,CRE067_R,,CRE067,Traced,1342,370,234,5,25,11,763267727
1110997994,PAM08_b(y4)_R,,PAM08_b,Traced,1516,267,651,159,275,78,352373355
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,54,24,520,204,265742623
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,165,23,104,20,297452211
1140655624,PAM08_c(y4)_R,,PAM08_c,Traced,2153,287,1010,209,340,67,393170688
1140737968,PAM08_b(y4)_L,,PAM08_b,Traced,1143,227,238,63,550,118,305493467
1140738351,PAM08_c(y4)_L,,PAM08_c,Traced,1800,301,409,85,1173,216,322122233
1140750938,PAM08_e(y4)_L,,PAM08_e,Traced,557,160,62,27,368,127,252905528
1141000881,PAM08_b(y4)_R,,PAM08_b,Traced,2012,319,858,200,532,113,424890767
1141009503,PAM08_b(y4)_L,,PAM08_b,Traced,475,203,340,99,79,65,128056257
1141324564,PAM08_e(y4)_R,,PAM08_e,Traced,735,134,362,97,87,21,320958096
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,602,135,89,19,427493806
1141337605,PAM08_e(y4)_R,,PAM08_e,Traced,1013,193,550,151,85,36,410437147
1141342258,PAM08_a(y4)_R,,PAM08_a,Traced,1115,191,643,148,179,41,391835218
1141350537,PAM08_b(y4)_R,,PAM08_b,Traced,1586,231,410,124,295,77,357280522
1141678665,PAM12(y3)_R,,PAM12,Traced,1020,164,540,127,151,37,394036608
1141678948,PAM08_e(y4)_R,,PAM08_e,Traced,656,148,377,114,67,20,295914008
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,1190,140,67,24,394678553
1141692008,PAM08_a(y4)_R,,PAM08_a,Traced,1126,202,659,151,154,47,370793520
1142011140,PAM07(y4<y1y2)_R,,PAM07,Traced,1116,174,760,135,71,32,425163642
1142356576,PAM08_a(y4)_R,,PAM08_a,Traced,995,194,591,160,117,34,343199907
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,508,112,184,47,393275875
1170400248,APL fragment?,,,Traced,2026,235,19,3,1,1,293828523
1171431567,PAM01_a(y5)_L,,PAM01_a,Traced,1015,141,264,39,587,102,302471572
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,78,12,32,6,324421746
1171759765,PAM08_e(y4)_L,,PAM08_e,Traced,565,159,83,32,322,111,179655045
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,159,30,710,165,266956643
1172031461,PAM08_c(y4)_R,,PAM08_c,Traced,1912,251,901,152,422,81,387429139
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,57,6,18,3,330410034
1172433712,PAM08_e(y4)_L,,PAM08_e,Traced,510,135,74,32,304,81,159755389
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,151,36,674,149,317578750
1172446050,PAM08_a(y4)_L,,PAM08_a,Traced,1073,208,175,52,677,152,257552610
1172446164,PAM07(y4<y1y2)_L,,PAM07,Traced,561,210,107,49,397,160,267875557
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,120,15,508,66,311773637
1172796014,PAM08_a(y4)_L,,PAM08_a,Traced,825,209,160,48,590,155,259656990
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,579,126,132,38,396639821
1173076392,PAM08_e(y4)_R,,PAM08_e,Traced,729,155,327,106,119,42,365057447
1173076523,PAM08_e(y4)_R,,PAM08_e,Traced,661,149,318,102,86,31,329984727
1173745330,PAM08_a(y4)_R,,PAM08_a,Traced,990,169,516,130,137,34,329507895
1173753977,PAM08_e(y4)_R,,PAM08_e,Traced,833,166,404,119,94,37,352319115
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,294,12,13,1,547627159
1202125326,PAM01_b(y5)_L,,PAM01_b,Traced,1020,151,179,39,665,108,196819019
1202397143,PAM01_b(y5)_R,,PAM01_b,Traced,694,140,305,105,58,19,332604177
1202470836,PAM07(y4<y1y2)_L,,PAM07,Traced,807,275,102,39,648,235,223533768
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,371,116,102,38,320100027
1204124270,PAM01_a(y5)_R,,PAM01_a,Traced,1841,147,902,99,458,45,360645236
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,999,150,79,32,429243268
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,8,3,10,1,366409907
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,151,50,425,149,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,198,74,430,120,228273943
1205090786,PAM12(y3)_R,,PAM12,Traced,771,115,225,45,252,69,303136226
1205225146,PAM12(y3)_L,,PAM12,Traced,900,201,188,65,479,133,297353925
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,358,78,221,52,308877449
1233428010,PAM01_a(y5)_R,,PAM01_a,Traced,1101,172,559,127,186,43,371802936
1233436479,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1278,153,639,94,268,40,294637816
1233492573,PAM01_b(y5)_L,,PAM01_b,Traced,804,140,124,30,513,107,241710096
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,28,2,46,6,294286432
1233773217,PAM01_a(y5)_R,,PAM01_a,Traced,1341,162,748,128,229,31,319599604
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,594,113,167,37,273212378
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,288,54,498,86,240889204
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,207,59,270,54,216360555
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,846,99,386,48,416278069
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,51,18,161,50,225739136
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,2,,14,1,267245995
1295855722,PAM01_b(y5)_R,,PAM01_b,Traced,1117,157,540,105,247,45,330482362
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,549,132,114,25,354276543
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,7,16,10,19,5492683352
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,19,7,6190229391
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,331,51,53,9,321368178
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,318,46,508,83,259131792
5812979172,PAM01_b(y5)_L,,PAM01_b,Traced,557,145,64,20,345,113,275874215
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,367,42,735,92,291541065
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,136,35,621,136,240183413
5812979560,PAM01_a(y5)_L,,PAM01_a,Traced,1468,128,415,44,804,83,284303946
5812980520,CRE029_c_R,,CRE029_c,Traced,834,333,1,2,1,5,771099799
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,1851,299,38,2,3349981626
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,247,59,742,168,253723732
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,,15,2,2164861052
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,204,38,380,76,211372631
5812982125,CRE032_R,,CRE032,Traced,600,223,14,8,74,4,547536751
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,603,99,186,34,343660367
5812983522,PAM07(y4<y1y2)_L,,PAM07,Traced,2412,544,128,31,2130,503,481019405
5812983827,PAM08_a(y4)_L,,PAM08_a,Traced,1016,194,208,56,682,137,253048355
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,9,1,1,1,3369272816
5813012637,SMP056(ADM01)_L,,SMP056,Traced,1802,509,50,1,103,6,1671517230
5813020288,PAM08_b(y4)_L,,PAM08_b,Traced,1571,270,441,94,850,173,344947794
5813020424,PAM12(y3)_L,,PAM12,Traced,842,136,204,44,463,87,274285169
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,11,7,3,8,2685199565
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,367,84,905,184,241663552
5813022076,PAM12(y3)_L,,PAM12,Traced,835,213,104,38,579,160,283015676
5813022199,CRE029_a_R,,CRE029_a,Traced,1027,313,9,16,2,6,775964720
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,10282,170,351,92,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,14,,7,1,3410455915
5813022404,PAM01_b(y5)_L,,PAM01_b,Traced,583,140,108,28,353,103,221751123
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,5741,2062,1423,464,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,10458,28,82,18,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,9,,21,3,903566720
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,202,33,661,94,240799955
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,45,11,54,10,281021176
5813033000,MBON34(y2)_R,,MBON34,Traced,604,202,13,1,78,4,485802384
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,51,15,473,97,288587422
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,162,27,3668,75,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,54,7,318,49,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,37,4,49,4,3046434158
5813052909,MBON29(y4y5)(PVL06)_L,,MBON29,Traced,5270,755,1230,24,2743,66,1673885779
5813057461,AVLP563(PVL15)_L,,AVLP563,Traced,1138,890,16,1,29,2,1021556858
5813057947,PAM08_a(y4)_L,,PAM08_a,Traced,452,127,63,32,265,91,143579591
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,6392,21,443,21,2345461437
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,23,4,32,18,3343482793
5813060817,PAM12(y3)_L,,PAM12,Traced,768,170,192,66,337,98,308095871
5813061212,PAM08_e(y4)_L,,PAM08_e,Traced,585,153,97,32,325,112,243974277
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,211,143,3486100136
5813061560,PAM08_a(y4)_L,,PAM08_a,Traced,555,166,64,28,438,136,234715149
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,368,72,936,183,332652814
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,101,24,481,108,167259973
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,361,104,341,118,444049069
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,463,82,229,35,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,34,5,7,2,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,314,113,194,67,354860104
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,768,139,108,38,357750093
5813123042,CRE039_R,,CRE039,Traced,614,176,1,,37,1,498065951
5813124740,PAM07(y4<y1y2)_L,,PAM07,Traced,604,120,118,31,340,82,270313769
5813126042,,,,Traced,165,108,11,1,4,3,97518482