id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,59,47,6917059458
357224041,LHPV5l1_R,,LHPV5l1,Traced,3696,1252,1,17,159,88,2184662669
358593042,SMP292_R,,SMP292,Traced,908,386,20,6,298,97,938899817
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,1,,157,85,1469716322
417221397,SMP238_R,,SMP238,Traced,1837,1162,7,27,37,47,2118638793
449975227,SMP293_R,,SMP293,Traced,845,395,5,1,197,59,850584484
455129365,SIP086_R,,SIP086,Traced,907,627,1,,13,3,1544975164
482754144,SMP584_R,WplL-Sm,SMP584,Traced,1255,349,4,,267,74,814375452
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,7,,404,1,2928723833
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,32,39,70,47,1838016114
550621853,CRE018_R,,CRE018,Traced,943,240,1,,54,21,415496626
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,9,3,512,54,1823088730
611323175,mALB1_L,,mALB1,Traced,3606,1903,1,,66,2,3507551623
613040803,CRE049_R,,CRE049,Traced,2229,750,1,1,101,12,1511757943
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,4,,490,61,2934178330
642387775,SIP023_R,,SIP023,Traced,1865,323,1,,107,84,814132802
667241165,SMP192_R,,SMP192,Traced,1173,486,4,3,244,194,1254196663
703050435,LAL039_R,,LAL039,Traced,757,151,2,,522,82,260434009
703059097,CRE018_R,,CRE018,Traced,1015,235,1,,115,39,387453191
705462899,CRE018_R,,CRE018,Traced,739,230,1,,49,25,412325364
706862579,CRE059_R,,CRE059,Traced,1466,552,1,,189,22,1186755402
734088804,LAL037_R,,LAL037,Traced,752,191,1,,298,68,319479807
734089294,LAL036_R,,LAL036,Traced,1595,185,3,,789,97,356940976
760021137,SMP016_b_R,,SMP016_b,Traced,573,151,1,3,104,4,513719955
760690116,CRE066_R,,CRE066,Traced,934,533,1,,132,30,937265171
761044410,SMP016_a_R,,SMP016_a,Traced,459,216,1,,75,6,546473510
763086729,LAL032_R,,LAL032,Traced,1013,195,1,,211,84,380902924
768884949,CRE057_R,,CRE057,Traced,907,211,1,,23,1,340459302
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,148,256,180,123,1165397767
795135527,LAL034_R,,LAL034,Traced,1035,245,1,,630,179,420453129
795826923,CRE017_R,,CRE017,Traced,1279,282,1,,88,74,453936050
797194962,CRE020_R,,CRE020,Traced,783,204,2,,161,37,358687889
797216807,LAL024_R,,LAL024,Traced,622,208,1,,310,182,379106687
825822254,LAL030_b_R,,LAL030_b,Traced,698,182,1,1,155,89,366896016
827889434,CRE020_R,,CRE020,Traced,734,150,1,,63,19,352855925
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,1,,99,331,981759380
858573728,LAL034_R,,LAL034,Traced,929,196,1,,583,149,362889107
858587718,ExR6(ring)_R,,ExR6,Traced,9255,2395,5,,4182,391,4204033525
858906840,LAL115_R,,LAL115,Traced,1870,675,1,,1047,113,996343147
860896571,AOTU041_R,,AOTU041,Traced,9915,1427,1,,857,61,5458705228
861233275,AOTU041_R,,AOTU041,Traced,10537,1562,1,,1077,78,5877344329
887230673,CRE016_R,,CRE016,Traced,685,186,1,,162,84,392503930
888577052,LAL080_R,,LAL080,Traced,615,169,1,,181,118,360576095
892294329,AOTU025_R,,AOTU025,Traced,5310,777,1,,193,375,1616459580
894422413,LAL110_R,,LAL110,Traced,398,164,1,,211,29,417847529
894702888,LAL013_R,,LAL013,Traced,2190,934,6,5,1204,284,1654988582
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,1122,14,535,40,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,813,14,403,31,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,105,352,13,7,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,1367,12,795,40,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,1452,17,707,42,3339909507
975197713,LAL192_R,,LAL192,Traced,843,568,3,,113,191,786663687
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,1,,43,4,1724906752
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,245,221,4,8,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,205,246,7,3,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,276,282,9,8,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,4,3,147,67,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,52,41,1935836510
984799284,CRE060_R,,CRE060,Traced,844,393,2,,298,10,738647628
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,4,8,86,171,1439854944
1011611587,LAL002_R,,LAL002,Traced,2392,876,1,,560,495,1502700413
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,148,474,1440,157,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,29,28,68,50,2079662476
1046726261,TuBu01_ABU_R,,TuBu01,Traced,577,136,49,133,24,2,392624531
1047426385,TuBu01_ABU_R,,TuBu01,Traced,525,119,51,89,15,28,366681305
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,8,8,96,160,1375874653
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,3,,507,8,2142474039
1108166986,TuBu02_IBU_R,,TuBu02,Traced,175,82,18,59,7,22,239818604
1108459071,TuBu02_IBU_R,,TuBu02,Traced,189,90,15,87,,2,244890241
1110640084,CRE067_R,,CRE067,Traced,1342,370,3,,311,5,763267727
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,3,,452,16,2860197903
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,8,9,17,2,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,87,211,168,120,1198248632
1139240289,LAL039_R,,LAL039,Traced,828,171,1,,610,96,269914785
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,138,5,,1,1055943440
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,106,8,,1,1125394909
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,170,2,10,1,1876942269
1169576040,TuBu02_IBU_R,,TuBu02,Traced,142,94,15,84,7,9,214404313
1169898618,TuBu01_ABU_R,,TuBu01,Traced,367,140,60,121,10,8,339752853
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,95,198,804,144,1472264855
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,7,1,247,15,1746881001
1231066662,ER5(ring)_R,,ER5,Traced,961,610,73,5,,2,1170428657
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,1,22,92,177,1412316280
1260542968,LC33a_R,,LC33a,Traced,689,266,1,,375,202,765659593
1260883995,LC33a_R,,LC33a,Traced,554,249,1,,333,192,722691863
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,48,9,57,2,472529807
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,78,4,17,1,462734560
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,34,2,84,6,494934893
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,77,3,28,1,457061603
1262105630,ER3m(ring)_R,,ER3m,Traced,949,246,54,1,,1,590452474
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,56,4,15,1,614666631
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,105,5,4,4,671179407
1291099014,ER1_b(ring)_R,,ER1_b,Traced,796,211,1,,246,10,484445372
1291435551,ER1_a(ring)_R,,ER1_a,Traced,633,214,1,,144,3,443295583
1291435693,ER1_b(ring)_R,,ER1_b,Traced,821,242,1,,227,9,512500871
1291435776,ER3p_a(ring)_R,,ER3p_a,Traced,824,289,91,3,,1,694712883
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,65,4,2,2,616393513
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,78,9,2,1,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,64,1,8,3,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,107,8,1,1,680157635
1295035551,LC33a_R,,LC33a,Traced,302,176,1,,82,95,298076983
1322133858,ER1_a(ring)_R,,ER1_a,Traced,567,200,1,,230,3,392635236
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,110,5,2,1,1148479791
1324430237,ER6(ring)_R,,ER6,Traced,2216,550,36,24,1644,201,1016271341
1355115431,AOTU005_R,,AOTU005,Traced,2008,698,1,,172,130,1377764674
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,3,2,6190229391
1448229400,,,,Assign,10,1,3,,5,1,3037169
1448575109,LNO2(LAL-NO2a)_R,,LNO2,Traced,8560,939,2,,5104,5,3621306261
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,131,201,550,132,1184449527
1511645270,LAL039_R,,LAL039,Traced,1057,199,1,,822,140,312316025
1572390197,LAL074_R,SpVeL-LSpIp(c)1,LAL074,Traced,5490,41,4,,3232,20,1921960807
1760327095,,,,Traced,3759,1015,4,,3064,971,2076786791
1934975261,,,,Traced,916,690,1,6,438,316,800645639
5812982924,CRE051_R,,CRE051,Traced,982,191,1,,20,1,395449321
5812983258,LAL036_R,,LAL036,Traced,840,164,1,,387,75,341175999
5812983734,ER6(ring)_R,,ER6,Traced,2158,537,26,16,1634,185,901469199
5812984024,ER3a_a(ring)_R,,ER3a_a,Traced,783,222,91,4,43,3,469401707
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,3,5,135,175,1478126146
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,3,1,426,31,1501021625
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,1,,47,275,1163111797
5813045216,FB3C_R,LALSMPFB3,FB3C,Traced,795,235,1,,108,2,515092302
5813050767,ER4m(ring)_R,,ER4m,Traced,1786,916,139,5,13,3,1556793027
5813057245,VES008_R,,VES008,Traced,6414,746,1,,1309,105,2900921519
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,32,53,11,7,1931391198
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,246,289,11,3,1770276774
5813090253,LAL033_R,,LAL033,Traced,1156,191,1,,770,115,327180537
5901222244,LAL033_R,,LAL033,Traced,1654,200,3,,1088,122,363000204