id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,LAL(R) #post,LAL(R) #pre,#voxels
295116205,SA1_a_R,SlpA,SA1_a,Traced,644,107,9,2,1,1,267661950
298944444,FB6U_R,SMPCREFB6_2,FB6U,Traced,2676,537,1789,438,1,1,1019062305
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,59,47,6917059458
356670712,FR2(FQ4)_C4_L_small,,FR2,Traced,396,115,373,,1,4,306385656
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,26,1,157,85,1469716322
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,2128,512,67,10,1107227318
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,24,,160,80,1356917252
452401246,FB2G_b_R,SIPLALFB2,FB2G_b,Traced,1107,417,549,413,131,1,1079654628
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,81,110,8,4,549640572
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,2348,14,45,175,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,1092,9,77,283,1365074914
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,1581,1726,404,1,2928723833
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,3971,2823,,1,3103732460
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,498,466,70,47,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,20,2,144,75,1262283600
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,19,,180,93,1495976797
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,1101,873,512,54,1823088730
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,53,80,3,2,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,122,131,10,1,602925629
607933758,FB5Q_R,SMPCREFB5d,FB5Q,Traced,2289,499,689,420,11,1,972638780
614081151,FB5A_R,LALCREFB5,FB5A,Traced,5503,1054,3168,1020,1290,1,2383963952
634608015,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1817,502,1705,453,6,7,533161528
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,34,2,124,72,1313237477
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,2229,13,56,145,1102000302
642715622,FB2C_R,SMPCREFB2_1,FB2C,Traced,1675,305,652,295,39,1,756531675
664943511,PFGs(PB10)_R1_C1_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2414,444,2152,410,50,9,1060006550
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,11,2,132,66,1249529709
666308023,PFL3(PB12c)_R1_C2_irreg,PB1-7FB1245LAL,PFL3,Traced,2985,423,2569,10,104,413,1206186971
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,2275,126,2,1,873271854
666994301,PFL3(PB12c)_R2_C1_irreg,PB1-7FB1245LAL,PFL3,Traced,2935,482,2511,4,96,452,1314789530
673746277,FB4N_R,SMPCREFB4,FB4N,Traced,6909,727,3841,715,78,2,1954346392
677182018,FB2B_b_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1760,554,1377,551,301,2,1202233671
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,21,2,145,75,1290354899
696682163,EL(EQ5)_L,EBGAs,EL,Traced,4835,1100,25,4,179,39,1281064545
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,31,2,138,61,1220895242
705463539,FB5F_R,SMPCREFB5_2,FB5F,Traced,1966,494,582,430,25,1,893326621
707539688,FB5A_R,LALCREFB5,FB5A,Traced,5980,1099,3420,1085,1472,3,2445429216
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,2161,534,52,9,1097656982
727350004,EL(EQ5)_L,EBGAs,EL,Traced,4545,943,39,10,175,34,1178553443
727376283,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1578,447,1422,378,5,13,550647258
734801540,FB2D_R,LALCREFB2_2,FB2D,Traced,3505,606,3027,588,267,4,1132954060
755518957,DM3_adPN_R,,DM3_adPN,Traced,4609,2379,1,,,1,3327897046
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,11,,128,76,1367317453
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,2012,6,74,224,1535167929
766864238,FB2C_R,SMPCREFB2_1,FB2C,Traced,1895,218,657,212,314,3,507464057
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,1,3,19,27,2704741582
788427061,FR1(FQ4)_C4_L,,FR1,Traced,1788,260,1268,4,2,1,549366898
788461444,PFGs(PB10)_L6_C6,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2567,391,2382,374,22,5,992956241
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,8,,127,65,871873631
789121913,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1476,438,1326,389,3,7,500493356
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,8,1,140,67,1177122514
789130596,PFL3(PB12c)_L4_C6,PB1-7FB1245LAL,PFL3,Traced,2851,454,2124,5,122,419,1194392560
800373114,AVLP477(PDM12)_L,,AVLP477,Traced,323,845,1,,11,53,1534568346
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,2,2,156,89,1242575632
820144012,EL(EQ5)_L,EBGAs,EL,Traced,4718,975,34,3,184,54,1326450645
821344462,OA-ASM2_R,,OA-ASM2,Traced,2838,1701,2,,25,21,2809359784
832016427,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1757,377,895,372,24,1,805737583
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,1711,4,51,176,1049700272
850855138,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2495,440,1758,6,93,433,1238365051
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,2887,3,99,331,981759380
858937324,FB4D_R,CRESMPFB4_2,FB4D,Traced,1784,335,1069,299,1,1,650269006
860305498,FB6N_R,CRESMPFB6_1,FB6N,Traced,2372,599,1804,583,39,2,1360706288
862036858,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,2133,770,857,711,67,3,1334560758
864073833,FB5V_R,CRELALFB5,FB5V,Traced,1389,217,127,197,803,11,679341918
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,1748,10,81,186,1069803729
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,3,1,149,101,708615708
880875927,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2110,307,1609,1,71,304,707899812
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,16,1,179,108,720534350
882200934,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1797,550,1667,491,1,2,575096041
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,2694,14,62,155,1151779323
882533209,PFL1(PB12a)_R1_C2_irreg,PFLC,PFL1,Traced,1547,341,970,7,56,296,1432354774
885253534,FC2C(FQ7)_C4_L,FB1d367CRE,FC2C,Traced,1209,131,1165,87,8,6,346770605
885262087,FB7I_R,SMPSIPFB76,FB7I,Traced,1858,487,1409,427,,1,929300073
890671753,FB5D_R,CRESMPFB5_1,FB5D,Traced,3018,613,1802,461,40,3,1019105034
893741163,FB4P_a_R,CRESMPFB4_4,FB4P_a,Traced,2736,597,1775,522,71,4,1011252039
911565319,PFL1(PB12a)_L5_C6,PFLC,PFL1,Traced,1636,297,946,6,55,259,1118569527
911569552,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2113,338,1722,8,81,328,860588162
911578483,PFL1(PB12a)_L6_C7,PFLC,PFL1,Traced,1306,282,824,2,50,254,1241067076
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,92,62,2,1,382389771
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,28,,121,64,1279652378
912596952,EL(EQ5)_L,EBGAs,EL,Traced,4195,919,36,9,190,48,1264795351
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,13,,132,63,961831095
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,115,146,14,5,631785776
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,1871,6,112,435,1310859231
915623395,FC2B(FQ7)_C5_L,FB1d356CRE,FC2B,Traced,1419,154,1375,109,7,7,255657566
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,2118,10,50,207,1366489368
916628962,FB1I_R,SMPSIPFB1d7,FB1I,Traced,1812,394,1732,391,1,1,1060563413
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,695,90,535,40,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,649,90,403,31,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3695,1698,13,7,4148353890
926490072,FB5V_R,CRELALFB5,FB5V,Traced,1779,303,455,226,387,17,726427285
941939879,PFL3(PB12c)_L6_C8,PB1-7FB1245LAL,PFL3,Traced,2359,485,1872,6,106,477,1137135613
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,6,1,163,108,737594409
943921162,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1588,471,1449,426,,1,571821666
943955813,PFR_b(PB11b)_L3_C3,PFR_b,PFR_b,Traced,1910,324,1382,167,17,4,666717755
944262351,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,2736,332,2389,3,110,329,948535579
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,2584,16,60,155,1090467478
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,612,82,795,40,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,841,83,707,42,3339909507
953414780,FB4H_R,CRELALFB4_4,FB4H,Traced,4189,875,1926,759,397,28,2648335537
973954598,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1987,576,1857,530,8,7,608509959
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,7,1,158,116,785035775
974645472,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1829,589,1675,541,11,3,523810983
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,1930,692,43,4,1724906752
977339225,FC2B(FQ7)_C4_L,FB1d356CRE,FC2B,Traced,2397,231,2347,170,8,2,487044433
977352235,FC2B(FQ7)_C6_L,FB1d356CRE,FC2B,Traced,1555,168,1511,123,5,3,371012802
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,105,29,4,8,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,2,2,7,3,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,115,27,9,8,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,355,116,147,67,1224788672
978681977,FC2C(FQ7)_C3_L,FB1d367CRE,FC2C,Traced,1463,145,1363,108,9,1,342530480
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,654,551,52,41,1935836510
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,2071,8,45,145,1104413493
988567837,FB4G_R,CRELALFB4_3,FB4G,Traced,3861,785,2161,592,363,33,1567841591
988909130,FB5V_R,CRELALFB5,FB5V,Traced,1745,269,360,226,514,11,714290599
989228019,FB5V_R,CRELALFB5,FB5V,Traced,2006,322,505,260,522,17,747593114
1002999221,PFR_b(PB11b)_L6_C7,PFR_b,PFR_b,Traced,1293,288,946,70,,1,625872511
1003672766,PFL1(PB12a)_L7_C9,PFLC,PFL1,Traced,1149,312,746,4,61,275,964632002
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,5,2,202,90,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,12,2,132,74,965411401
1004700437,PFL3(PB12c)_L7_C9,PB1-7FB1245LAL,PFL3,Traced,2588,513,2170,6,107,504,1092150568
1005308608,EL(EQ5)_L,EBGAs,EL,Traced,4381,729,25,3,171,47,1157310567
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,9,13,86,171,1439854944
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,1222,369,2,8,513227795
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,2988,1406,579,3,2716937442
1008391068,FC2B(FQ7)_C6_L,FB1d356CRE,FC2B,Traced,2174,219,2135,167,2,4,459251728
1008693605,FC2C(FQ7)_C7_L,FB1d367CRE,FC2C,Traced,1088,126,1051,91,,2,261049840
1010437434,FC2C(FQ7)_C7_L,FB1d367CRE,FC2C,Traced,1015,118,980,83,2,3,245307806
1019607245,FB4E_R,CRELALFB4_1,FB4E,Traced,1071,193,585,191,220,1,416373122
1020280792,FB5V_R,CRELALFB5,FB5V,Traced,1086,180,135,166,357,3,574733412
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,23,2,121,80,1027118663
1035393986,FC2C(FQ7)_C7_L,FB1d367CRE,FC2C,Traced,947,107,905,80,7,4,255205366
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3598,1723,1440,157,5331729469
1036753721,EL(EQ5)_L,EBGAs,EL,Traced,4431,918,72,10,183,58,1219998811
1040393594,PFGs(PB10)_L3_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,3123,690,2933,681,21,2,1117514933
1041071176,FC2B(FQ7)_C2_L,FB1d356CRE,FC2B,Traced,2141,185,2093,141,7,1,468252374
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,695,463,68,50,2079662476
1050266721,FB5V_R,CRELALFB5,FB5V,Traced,1134,170,172,159,339,2,548801057
1050935614,FB5V_R,CRELALFB5,FB5V,Traced,1460,268,421,185,185,14,670369042
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,833,384,484,8,724270517
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,9,2,129,85,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,14,,111,63,836597415
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,106,17,203,48,1067970589
1070439674,PFR_b(PB11b)_L3_C4,PFR_b,PFR_b,Traced,1855,315,1554,102,,1,778112832
1071760480,FC2C(FQ7)_C2_L,FB1d367CRE,FC2C,Traced,2074,173,2012,133,8,5,444453797
1072503172,PFR_a(PB11a)_L6_C6,PFR_a,PFR_a,Traced,1566,422,1430,364,4,6,523432208
1072507501,FC2A(FQ7)_C6_L,FB1-5CRE,FC2A,Traced,1975,240,1918,197,1,2,424866741
1072844208,PFR_a(PB11a)_L6_C7,PFR_a,PFR_a,Traced,1497,389,1374,347,9,5,490071744
1075827302,FB2D_R,LALCREFB2_2,FB2D,Traced,3206,575,2714,552,267,8,1027285919
1076185604,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,959,138,912,96,3,3,284621817
1101474458,FB4P_a_R,CRESMPFB4_4,FB4P_a,Traced,2805,519,1831,458,105,4,1040180176
1104155212,FC2C(FQ7)_C1_L,FB1d367CRE,FC2C,Traced,1549,146,1502,99,2,2,373204911
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,1,,96,160,1375874653
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,2599,777,507,8,2142474039
1109599486,FB4J_R,CRELALFB4_5,FB4J,Traced,1881,314,1017,299,148,2,736167505
1113371822,FB5V_R,CRELALFB5,FB5V,Traced,1158,174,87,161,566,6,584193382
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,17,,106,70,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,6,1,156,86,586585085
1128434325,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1828,556,1701,511,11,4,579257577
1131822592,FB4I_R,LALCREFB4,FB4I,Traced,1868,335,748,312,713,16,1015553194
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,2054,2395,452,16,2860197903
1131831822,FB3A_R,,FB3A,Traced,2774,451,1217,352,782,2,1522866333
1131831990,FB4E_R,CRELALFB4_1,FB4E,Traced,1067,205,616,203,251,1,422723904
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,369,332,33,2,853725137
1132168736,FC2A(FQ7)_C4_L,FB1-5CRE,FC2A,Traced,2212,244,2170,216,1,2,461477159
1132526832,FB4F_b_R,CRELALFB4_2,FB4F_b,Traced,1715,297,833,284,318,8,697617700
1133890586,PFGs(PB10)_L5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2149,393,1903,364,16,2,1020071695
1134849078,FC2B(FQ7)_C1_L,FB1d356CRE,FC2B,Traced,2299,170,2241,124,14,2,438632336
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,2163,359,17,2,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1,1,168,120,1198248632
1137288015,EL(EQ5)_L,EBGAs,EL,Traced,4987,858,8,,214,53,1233512438
1162529693,FB3A_R,,FB3A,Traced,2547,449,1223,354,643,3,1488371650
1162862710,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1641,352,859,338,322,4,701323334
1163898298,FB5V_R,CRELALFB5,FB5V,Traced,1695,274,525,199,300,13,661211274
1164545788,FC2B(FQ7)_C2_L,FB1d356CRE,FC2B,Traced,2870,246,2808,184,4,2,505184719
1164882751,FC2A(FQ7)_C3_L,FB1-5CRE,FC2A,Traced,2339,259,2290,225,2,2,446648494
1166674437,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,847,134,796,100,7,2,175162270
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,2093,6,44,203,1481422725
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,20,,144,68,960598574
1168283924,FB2G_b_R,SIPLALFB2,FB2G_b,Traced,1412,460,592,457,176,1,1191477333
1168340507,EL(EQ5)_L,EBGAs,EL,Traced,4541,813,45,3,164,52,1175399808
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,4,,55,7,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,28,5,49,8,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,20,2,131,81,1000269781
1189891402,PFGs(PB10)_L8_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1643,285,1418,241,22,4,588763195
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,7,,143,90,718304874
1193560469,FB3C_R,LALSMPFB3,FB3C,Traced,761,249,563,247,82,1,546908679
1194246820,FB2D_R,LALCREFB2_2,FB2D,Traced,3232,590,2863,568,179,9,1089666921
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,991,332,4,9,454288161
1195999722,FC2B(FQ7)_C8_L,FB1d356CRE,FC2B,Traced,1827,190,1784,143,5,1,253119785
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,1,804,144,1472264855
1198576311,AVLP120_R,,AVLP120,Traced,382,322,1,,,1,645893338
1200027441,PFGs(PB10)_L9_C9,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1455,259,1335,244,14,5,495589091
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,2113,5,73,209,1532312771
1220800405,FB6M_R,WEDLALFB6,FB6M,Traced,1347,402,761,259,91,52,1362256529
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,23,59,5,2,323395635
1224590555,FB3C_R,LALSMPFB3,FB3C,Traced,720,182,475,179,90,1,588548829
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,1508,1105,202,4,1272001412
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,2532,605,117,12,2367341468
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,916,552,247,15,1746881001
1257629175,FC2B(FQ7)_C1_L,FB1d356CRE,FC2B,Traced,2516,217,2452,162,8,5,468639703
1258686925,PFL3(PB12c)_L2_C4,PB1-7FB1245LAL,PFL3,Traced,2916,481,2285,12,126,468,1251526591
1259097611,PFR_a(PB11a)_L8_C8,PFR_a,PFR_a,Traced,1283,446,1155,378,2,7,342984622
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,7,3,92,177,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,2,1,41,90,1170924542
1287360108,FB2K_R,LALSMPFB2,FB2K,Traced,1166,173,563,171,523,2,381361054
1289359184,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4578,2519,2100,2315,565,14,2446970593
1291142212,FC2B(FQ7)_C8_L,FB1d356CRE,FC2B,Traced,1195,159,1146,112,8,4,193070600
1292423935,PFL1(PB12a)_L3_C4,PFLC,PFL1,Traced,1166,283,478,2,60,254,1202334420
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,2226,8,78,234,1437029317
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,3,2,6190229391
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,22,,159,103,1568187447
1513363614,LCNOpm(LAL-NO3pm)_R,LCNpm,LCNOpm,Traced,6501,858,3,,3827,12,2388661962
1539632818,LAL138_R,WL-L candidates,LAL138,Traced,3244,9,1,,1552,2,3154186739
1570111396,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1118,147,1070,103,4,4,291314908
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,106,150,3,3,532651939
1601715638,ExR8(ring)_R,,ExR8,Traced,1685,441,20,,30,56,1111869658
5812980666,FB5K_R,CREFB5,FB5K,Traced,4136,627,2308,450,12,3,1601760267
5812983846,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1494,734,790,633,16,2,1050718993
5812983883,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1949,422,1110,416,214,2,933273354
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,3,,135,175,1478126146
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,11,2,142,82,1075949177
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,89,128,10,4,508396228
5813021247,FB5E_R,CRESMPFB5_2,FB5E,Traced,2692,621,1592,560,51,1,990333243
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,22,,130,75,1213503168
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,3007,1327,421,1,2846693400
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,772,482,426,31,1501021625
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,416,5,47,275,1163111797
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,88,129,8,3,481368357
5813045216,FB3C_R,LALSMPFB3,FB3C,Traced,795,235,566,230,108,2,515092302
5813054053,OA-ASM3_R,,OA-ASM3,Traced,3158,1823,1,,3,1,2755864037
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,1051,891,537,22,1798572771
5813055999,FC2A(FQ7)_C2_L,FB1-5CRE,FC2A,Traced,2801,271,2756,236,2,1,513982696
5813057464,FC2B(FQ7)_C7_L,FB1d356CRE,FC2B,Traced,1934,189,1884,144,7,4,362028533
5813057963,FB3B(EB)_R,EBCREFB3,FB3B,Traced,838,222,198,122,111,5,521205033
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,622,485,11,7,1931391198
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,1798,783,147,1,1042477121
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,1,7,3486100136
5813062805,PFR_a(PB11a)_L7_C7,PFR_a,PFR_a,Traced,1191,380,1040,310,5,5,333743157
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,3717,2821,165,21,3621432113
5813065004,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1740,390,898,382,275,2,952024963
5813069859,AstA1_R,,AstA1,Traced,6322,3719,2,,28,1,9598451006
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,191,40,11,3,1770276774
5813081864,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1632,181,1579,127,3,2,238566314
5813103626,FC2C(FQ7)_C8_L,FB1d367CRE,FC2C,Traced,1096,144,1054,102,4,4,217353516
5813129271,FC2C(FQ7)_C8_L,FB1d367CRE,FC2C,Traced,738,148,693,102,1,1,184248820