id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,a'L(R) #post,a'L(R) #pre,#voxels
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,,42,25,4356555624
487187476,SIP087_R,,SIP087,Traced,10957,3440,31,37,21,3,4036468535
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,251,343,1295,6,4367730421
735073668,mAL3A_L,,mAL3A,Traced,61,73,1,,1,1,224321258
735415046,mAL3A_L,,mAL3A,Traced,87,57,1,,,1,231447040
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,59,76,4979,43,2722993954
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,79,2,2886,850,4211579375
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,61,44,3,1,3325948715
5813009620,SMP109_R,,SMP109,Traced,6129,1399,12,22,,1,2742026328
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,9,10,3486100136
5901213440,CRE011_R,,CRE011,Traced,19674,2149,35,85,69,6,5844952800