id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,#voxels
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,15,5,431109241
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,10,6,3325948715
5812980792,KCab-p_R,,KCab-p,Traced,667,280,13,3,374117772
5812980938,KCab-p_R,,KCab-p,Traced,693,270,4,2,399456127
5812981068,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,260,317,147,420573073
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,301,105,385557469
5812981072,KCa'b'-m_R,,KCa'b'-m,Traced,649,226,322,114,393185864
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,335,160,447193387
5812981270,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,678,228,341,111,440624810
5812981274,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,566,235,260,114,383887653
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,308,123,487373247
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,332,130,474294817
5812981279,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,232,315,120,449082312
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,305,122,451840346
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,243,76,390005539
5812981318,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,269,329,134,427512487
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,320,161,446321131
5812981322,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,681,228,336,109,439255704
5812981327,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,754,256,330,140,438108998
5812981332,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,249,310,136,496581517
5812981333,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,698,228,339,111,449909211
5812981339,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,634,214,318,127,426256262
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,404,186,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,344,122,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,346,151,441656257
5812981361,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,558,214,254,122,390359463
5812981363,KCa'B'_L,,,Traced,319,109,64,26,114946857
5812981373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,604,226,307,119,433377539
5812981379,KCab-s_R,,KCab-s,Traced,570,236,2,1,300101280
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,2,3349981626
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,316,108,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,339,121,455420889
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,303,104,418827569
5812981553,KCa'b'-m_R,,KCa'b'-m,Traced,647,237,310,125,409831606
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,356,130,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,329,122,391061782
5812981569,KCa'b'-m_R,,KCa'b'-m,Traced,617,240,322,120,412855226
5812981570,KCa'b'-m_R,,KCa'b'-m,Traced,642,249,312,128,449506766
5812981578,KCa'b'-m_R,,KCa'b'-m,Traced,620,237,281,98,399710677
5812981581,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,645,213,313,101,458081929
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,329,117,413897094
5812981586,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,598,237,322,136,424512481
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,313,82,404873540
5812981602,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,231,303,122,417470359
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,57,21,253723732
5812981643,KCab-p_R,,KCab-p,Traced,682,252,8,3,374726947
5812981680,KCab-p_R,,KCab-p,Traced,734,281,2,1,282267054
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,396,101,328939713
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,316,112,478708280
5812981797,KCa'b'-m_R,,KCa'b'-m,Traced,763,234,327,115,415406453
5812981800,KCa'b'-m_R,,KCa'b'-m,Traced,651,249,313,147,399866760
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,321,107,402147766
5812981858,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,261,323,158,481499224
5812981924,KCg-m_R,,KCg-m,Traced,756,254,1,1,345875249
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,299,106,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,270,119,464186591
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,240,124,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,294,140,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,320,111,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,294,103,399100731
5812982091,PAM06_b(B'2m)_R,,PAM06_b,Traced,1127,140,623,88,266987071
5812982118,PAM06_a(B'2m)_R,,PAM06_a,Traced,1274,334,457,211,428564958
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,253,121,311663944
5812982145,KCa'b'-m_R,,KCa'b'-m,Traced,720,245,326,126,417445903
5812982149,KCa'b'-m_R,,KCa'b'-m,Traced,707,234,279,111,412946042
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,295,114,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,329,121,408201604
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,306,123,419710605
5812982429,KCa'b'-m_R,,KCa'b'-m,Traced,682,214,325,105,423231483
5812982436,KCg-m_R,,KCg-m,Traced,779,249,8,5,354659380
5812982442,KCg-m_R,,KCg-m,Traced,828,258,6,1,382934901
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,363758686
5812982579,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,492,173,322,125,410959307
5812982692,KCa'b'-m_R,,KCa'b'-m,Traced,591,226,286,114,295847214
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,347,101,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,315,119,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,338,120,409899062
5812982727,PAM02(B'2a)_L,,PAM02,Traced,1214,193,405,90,214337914
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,321,27,343660367
5812982780,KCab-p_R,,KCab-p,Traced,700,235,4,1,384605451
5812982782,KCab-p_R,,KCab-p,Traced,677,228,14,4,389662255
5812982823,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,212,316,126,396676348
5812982832,KCg-m_R,,KCg-m,Traced,727,231,1,1,351930359
5812982925,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,694,292,362,150,491654910
5812983009,KCg-m_R,,KCg-m,Traced,757,230,2,1,354509134
5812983112,KCa'b'-m_R,,KCa'b'-m,Traced,647,251,338,150,411342672
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,306,114,386511183
5812983399,PAM05(B'2p)_L,,PAM05,Traced,1338,327,268,105,358512014
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,6,1,200836501
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,300,124,436809854
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,18,8,502377982
5812983544,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,675,237,335,128,426100093
5812983569,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,559,251,305,138,392759583
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,310,151,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,395,153,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,353,176,453811862
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,301,115,415440030
5812983869,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,213,256,79,436690709
5812983871,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,209,320,111,408605251
5812983898,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,191,304,105,420362398
5812983899,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,641,216,331,106,347569779
5812983903,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,554,225,308,110,444087728
5812984045,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,679,240,319,119,439989491
5812987762,KCg-m_R,,KCg-m,Traced,705,198,2,1,325691310
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,76,29,151824685
5812996052,,,,Traced,609,368,5,9,688274394
5813010617,KCab-p_R,,KCab-p,Traced,675,277,19,4,391055197
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,325,122,434014408
5813020046,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,666,246,325,125,437866399
5813020047,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,305,138,437076621
5813020052,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,223,321,112,437468051
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,285,133,441233004
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,356,169,472995790
5813020132,KCg-m_R,,KCg-m,Traced,778,236,5,1,345391815
5813020271,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,710,232,318,122,452528827
5813020988,LHMB1_R,,LHMB1,Traced,6859,1312,38,14,2286240275
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,3,2,2685199565
5813021033,KCab-p_R,,KCab-p,Traced,804,252,12,3,410859481
5813021046,CRE102_R,Sm-C,CRE102,Traced,4657,666,3,15,1476031794
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,277,136,441153613
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,20,6,248528210
5813021642,KCa'b'-m_R,,KCa'b'-m,Traced,665,211,288,93,373756130
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,308,127,394108433
5813021659,KCg-m_R,,KCg-m,Traced,772,220,2,1,353080116
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,290,112,454869357
5813021748,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,195,326,99,447453187
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,323,127,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,346,120,411808930
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,305,104,437684352
5813021779,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,700,263,367,145,457074069
5813021781,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,662,259,318,131,419729763
5813021786,KCa'b'-m_R,,KCa'b'-m,Traced,718,225,332,108,428081193
5813021788,KCab-p_R,,KCab-p,Traced,713,247,12,3,417804388
5813021792,KCa'b'-m_R,,KCa'b'-m,Traced,577,226,251,117,402507757
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,353,137,454399393
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,386,160,478993126
5813021806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,627,237,343,143,475435410
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,331,167,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,327,161,467946092
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,307,154,464717750
5813021822,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,265,372,153,482821942
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,300,112,405326877
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,1,2,241663552
5813021848,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,201,282,115,424646555
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,346,154,485815034
5813021865,KCg-m_R,,KCg-m,Traced,911,250,15,4,390695586
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,365,150,431474709
5813022117,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,215,332,124,434303309
5813022201,PAM06_a(B'2m)_R,,PAM06_a,Traced,1403,306,528,202,397327304
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,443,96,5444071374
5813022811,CRE080_R,pMP6b candidates,CRE080,Traced,1131,236,10,2,1038235689
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,44,2,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,18,2,240799955
5813032740,WEDPN4_R,,WEDPN4,Traced,2190,690,22,1,2115797592
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,54,44,975624467
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,311,94,388570181
5813032813,PAM13(B'1ap)_L,,PAM13,Traced,680,241,245,130,279564061
5813032868,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,223,296,127,431022127
5813032874,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,326,120,455255692
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,349,124,519684879
5813032887,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,598,197,296,113,419825635
5813032896,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,689,216,377,117,404784077
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,321,126,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,4,2,339903729
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,369,70,281021176
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,341,135,486240013
5813033208,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,704,219,380,107,435229410
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,60,21,288587422
5813035267,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,644,259,319,157,511057661
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,318,148,463866310
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,180,27,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,9,6,3046434158
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,265,120,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,308,121,437993906
5813047676,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,567,231,285,123,418921494
5813047784,PAM05(B'2p)_L,,PAM05,Traced,420,225,141,92,211723090
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,321,125,431318660
5813048214,PAM06_b(B'2m)_L,,PAM06_b,Traced,673,113,219,51,182935102
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,292,145,420504766
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,337,142,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,1,1,322349102
5813056183,KCg-d_R,,KCg-d,Traced,600,223,16,9,360853469
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,322,110,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,345,143,436927867
5813056305,KCa'b'-m_R,,KCa'b'-m,Traced,672,241,324,123,401460811
5813056307,KCa'b'-m_R,,KCa'b'-m,Traced,641,242,308,107,441207882
5813056309,KCg-m_R,,KCg-m,Traced,825,283,25,8,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,321,102,403944266
5813056327,KCa'b'-m_R,,KCa'b'-m,Traced,700,236,357,122,422840976
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,281,110,396399147
5813056390,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,583,234,301,126,413226879
5813056414,KCg-m_R,,KCg-m,Traced,673,211,29,8,349509259
5813057227,KCa'b'-m_R,,KCa'b'-m,Traced,621,239,283,114,416212913
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,359,103,405376444
5813057867,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,587,246,349,171,399817341
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,412,162,450117799
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,14,1,2345461437
5813058163,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,686,258,323,131,423518090
5813058215,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,248,341,129,430406202
5813059951,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,240,250,107,422392882
5813060643,KCab-p_R,,KCab-p,Traced,681,264,7,2,369871738
5813060663,KCg-m_R,,KCg-m,Traced,687,206,4,1,376076661
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,280,132,436369804
5813060776,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,229,284,121,333533652
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,13,1,1042477121
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,3486100136
5813061597,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,640,250,342,148,475789178
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,262,150,338596004
5813062565,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,257,333,167,425676562
5813062842,KCa'b'-m_R,,KCa'b'-m,Traced,707,248,359,123,425529161
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,294,101,391939830
5813063224,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,611,232,314,127,445344768
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,420,186,467187303
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,300,145,436486264
5813064427,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,652,297,356,187,430438345
5813067826,KCg-d_R,,KCg-d,Traced,869,324,5,3,380946615
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,311,124,440340877
5813068687,KCa'b'-m_R,,KCa'b'-m,Traced,653,228,323,107,400089032
5813068690,KCa'b'-m_R,,KCa'b'-m,Traced,698,233,315,116,402291796
5813068692,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,682,233,328,113,431484345
5813068752,KCa'b'-m_R,,KCa'b'-m,Traced,692,252,318,142,429764535
5813068984,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,583,252,293,140,437165853
5813069379,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,253,303,138,422706616
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,331,116,364741205
5813069965,PAM05(B'2p)_L,,PAM05,Traced,1498,325,320,97,378509855
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,2,3,332652814
5813070581,KCg-m_R,,KCg-m,Traced,763,244,4,1,352307064
5813070672,KCg-m_R,,KCg-m,Traced,719,237,21,3,398858277
5813077575,KCg-d_R,,KCg-d,Traced,625,242,3,2,361698810
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,308,127,446715176
5813077582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,707,254,349,138,431316160
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,337,124,453604666
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,333,126,442358082
5813078179,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,628,267,331,129,438465584
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,276,117,472655195
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,287,94,373028028
5813078679,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,697,252,364,150,446899629
5813079050,KCg-m_R,,KCg-m,Traced,688,239,5,2,334513328
5813080766,KCg-m_R,,KCg-m,Traced,853,271,3,1,275053843
5813084505,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,463,222,241,140,360084803
5813085240,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,232,298,119,444478363
5813087625,,,,Traced,951,208,1,3,126240451
5813090947,PAM06_a(B'2m)_L,,PAM06_a,Traced,841,352,302,140,376448291
5813091021,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,574,258,330,158,416182724
5813091420,PAM05(B'2p)_L,,PAM05,Traced,776,320,256,138,260282398
5813091744,KCab-p_R,,KCab-p,Traced,635,285,12,6,392247819
5813091758,PAM06_a(B'2m)_L,,PAM06_a,Traced,1097,361,340,143,369489017
5813092931,KCab-p_R,,KCab-p,Traced,767,244,24,6,375350336
5813093111,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,266,298,140,432015379
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,2,1,324522133
5813095018,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,672,243,323,133,432250715
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,291,123,412868274
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,300,135,434717676
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,194,51,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,703,155,340231907
5813104096,KCg-m_R,,KCg-m,Traced,793,251,6,5,248289962
5813105172,DPM_R,,DPM,Traced,77269,17628,13555,3386,15191654896
5813110459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,606,264,284,149,432471519
5813111042,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,501,225,287,131,388725384
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,349,186,434542432
5813114700,KCab-p_R,,KCab-p,Traced,746,234,16,1,347875742
5813127030,PAM06_a(B'2m)_R,,PAM06_a,Traced,1411,387,578,264,487007634
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,16,1,1200274635
5901200337,,,,Traced,228,89,41,19,90022580
5901205545,PAM05(B'2p)_L,,PAM05,Traced,649,278,187,112,260118145
5901209306,,,,Assign,1,3,1,3,1276499
5901216241,,,,Assign,1,2,1,2,29022
7112625242,,,,Assign,14,11,14,11,4018486
7112625248,,,,Assign,37,9,37,9,5606155