id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,b'L(L) #post,b'L(L) #pre,#voxels
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1,,604,2,4356555624
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,2,,16106,129,3979007410
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,1,,12,2,403977461
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,18,2,367958807
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,1,,44,10,239327987
1293135946,ER3m(ring)_L,,ER3m,Traced,838,241,819,230,,1,364686080
1293511634,,,,Traced,223,93,2,,220,93,72721804
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,4,,12,2,917030170
1324559671,,,,Traced,243,81,1,,241,81,69885176
1325250418,,,,Traced,239,109,1,,238,109,76649106
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1,,14,18,1389645128
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,8,9,6190229391
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,1,,671,179,394753648
5812981356,,,,Traced,248,67,1,,247,67,59677267
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,1,1,307,145,467187303
5901210064,APL fragment?,,,Traced,1192,151,1,,1184,151,188866006