id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,aL(L) #post,aL(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,27,8,5265462913
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,,1,6,2320900064
489051772,,,,Traced,52,32,8,7,3,1,25148698
489051866,,,,Traced,71,40,7,2,6,2,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,131,51,1964048244
831113316,,,,Traced,51,28,1,1,2,1,25931501
1015622418,,,,Traced,809,407,15,13,3,2,235779801
1173866149,,,,Traced,400,200,348,160,5,3,142748783
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,269,9,,1,3823216871
5812981810,,,,Traced,245,47,1,,1,1,106451023
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,138,1,3,1,869209965
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,181,14,289,106,2038784377