id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,b'L(L) #post,b'L(L) #pre,#voxels
205985855,,,,Traced,1406,139,11,,45,1,575419822
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,12,1,4,1,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,22,15,30,36,2562854346
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,19,14,6917059458
360764170,SMP125_R,,SMP125,Traced,372,262,1,,,3,708327421
393404592,SMP127_R,,SMP127,Traced,2570,648,13,4,34,23,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,29,38,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,16559,4033,6728,1648,6483095365
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,5,2,1,2489431605
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,4,,16106,129,3979007410
487925063,MBON04(B'2mp_bilateral)_R,,MBON04,Traced,16859,1776,2269,4,7340,7,3269688224
489051866,,,,Traced,71,40,9,7,7,2,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,40,71,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,13,,30,19,478509017
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,679,111,22,3,305318308
550431171,,,,Traced,374,415,1,3,4,5,466149886
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,17,3,382607989
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,1,3,10,9,1640712084
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,274,58,10,4,417405171
613040803,CRE049_R,,CRE049,Traced,2229,750,6,5,14,4,1511757943
641688553,CRE042_R,,CRE042,Traced,6850,1277,4,,16,2,2405591250
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,137,15,528,98,299806071
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,1,,22,6,275698658
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,1,2,,1,642080855
673509195,MBON01(y5B'2a)_L,,MBON01,Traced,29244,2205,22344,28,4841,8,6713237576
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,165,11,259,2,2764738281
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,8,7,11,2,277333760
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,23,,24,1,2183958132
706633128,,,,Traced,52,36,2,1,,2,27955134
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,33,2,170,2,1535739624
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,36,4,284,70,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,3,4,14,3,937265171
766959162,,,,Traced,760,53,10,1,461,3,117878921
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,497,119,5,1,337662143
798585556,PAM06_b(B'2m)_L,,PAM06_b,Traced,959,114,13,2,709,89,214518180
800622401,PAM13(B'1ap)_R,,PAM13,Traced,766,197,5,,169,69,280922115
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,1,13,4,135248805
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,388,131,7,1,440919426
830276571,PAM05(B'2p)_R,,PAM05,Traced,1135,314,9,3,257,107,425507826
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,197,74,2,1,402053568
864169621,(PVL05)_L,,,Traced,67,87,2,2,1,1,94584044
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,366,128,8,1,258249835
895535909,(PVL05)_L,,,Traced,58,69,4,1,,1,89829282
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,288,1,3100,29,2272675577
923415956,SMP165(AVM07)_L,,SMP165,Traced,1476,437,4,1,2,1,833177546
954528474,PAM08_c(y4)_L,,PAM08_c,Traced,1738,298,986,200,4,1,337379008
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,256,95,6,3,382633721
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,1,,109,48,192486246
984453829,,,,Traced,659,689,3,3,12,1,584836699
984799284,CRE060_R,,CRE060,Traced,844,393,67,34,6,3,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,45,8,21,16,977135458
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,8437,41,28,10,2278694286
985818067,,,,Traced,176,317,34,31,3,4,271365706
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,4,3,196,75,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,108,28,216,70,294789403
1015484487,,,,Traced,623,710,3,,,1,523595977
1015622418,,,,Traced,809,407,761,369,15,13,235779801
1015825657,,,,Traced,168,299,5,3,4,2,271480057
1016166622,CRE067_R,,CRE067,Traced,1039,396,43,15,5,4,735317516
1016166928,,,,Traced,202,385,13,18,4,6,299158941
1016270635,,,,Traced,136,128,24,4,2,5,108829423
1016506999,LAL198_R,,LAL198,Traced,2427,780,39,,3,3,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,13692,266,94,1,2083130629
1047210325,,,,Traced,258,404,39,22,3,1,324251843
1047887562,CRE068_R,,CRE068,Traced,594,325,31,11,1,9,562548941
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,5,,22,5,233922701
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,1407,485,172,24,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,13331,335,84,6,2226046804
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,47,1,5210,87,2791162363
1079682006,,,,Traced,117,68,56,8,12,6,72450554
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,218,74,4,3,283506292
1081767446,PAM05(B'2p)_L,,PAM05,Traced,547,239,1,,256,135,292571668
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,1,1,17,5,339562986
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,264,37,1,1,437796532
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,6,,331,60,326742368
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,520,204,3,1,265742623
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,12,4,8,5,635401587
1139724263,,,,Traced,336,132,4,,329,131,102331977
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,104,20,218,36,297452211
1141009503,PAM08_b(y4)_L,,PAM08_b,Traced,475,203,79,65,4,6,128056257
1141329227,PAM13(B'1ap)_R,,PAM13,Traced,964,211,1,,170,66,346624547
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,89,19,138,52,427493806
1142490070,,,,Traced,417,174,408,168,6,3,98083419
1142490078,,,,Traced,393,177,20,10,369,163,127760963
1170400248,APL fragment?,,,Traced,2026,235,1,1,1453,183,293828523
1170404540,,,,Traced,429,186,10,4,418,181,125273798
1170404787,,,,Traced,378,186,22,16,356,170,118037991
1170404813,,,,Traced,326,167,11,6,315,161,104420946
1170404826,,,,Traced,382,181,7,4,375,177,114324068
1170404870,,,,Traced,372,174,6,5,366,169,112149184
1170404875,PAM05(B'2p)_R,,PAM05,Traced,682,237,3,4,167,95,319299901
1170404888,,,,Traced,366,178,3,2,361,174,109212718
1170409025,,,,Traced,401,202,1,,362,174,122832054
1170409037,,,,Traced,404,175,14,10,390,165,120814929
1170409055,,,,Traced,373,185,3,2,370,183,112041295
1170409088,,,,Traced,351,182,2,4,349,178,113685268
1170412847,,,,Traced,2034,249,7,,1828,230,280315243
1170413127,,,,Traced,248,88,3,1,245,87,73016337
1170413384,,,,Traced,248,111,1,1,247,109,88302040
1170745461,,,,Traced,330,149,9,6,319,142,98591586
1170749728,,,,Traced,460,168,1,2,453,163,114929950
1170749785,,,,Traced,251,109,1,,250,109,97741632
1171423213,,,,Traced,978,429,932,402,19,7,295799970
1171436073,PAM13(B'1ap)_L,,PAM13,Traced,638,221,3,2,259,99,272074555
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,32,6,317,30,324421746
1171768085,,,,Traced,485,252,449,225,29,16,143880669
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,710,165,2,1,266956643
1171772763,,,,Traced,342,122,331,117,10,5,76936549
1171776517,,,,Traced,348,153,339,152,9,1,91892301
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,5,,276,114,282949058
1172105000,,,,Traced,366,151,366,150,,1,86321248
1172118004,,,,Traced,402,155,395,151,7,4,90918023
1172118087,,,,Traced,457,177,452,175,5,2,96311726
1172118249,,,,Traced,394,153,363,137,30,16,93316902
1172127133,,,,Traced,423,187,419,186,2,1,104553930
1172161563,,,,Traced,403,178,395,175,8,3,104326599
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,18,3,392,52,330410034
1172445996,,,,Traced,340,125,339,124,1,1,82313228
1172446050,PAM08_a(y4)_L,,PAM08_a,Traced,1073,208,677,152,,1,257552610
1172458980,,,,Traced,431,182,431,180,,1,99358541
1172502469,,,,Traced,35,9,23,7,12,2,3029314
1172502521,,,,Traced,9,7,7,6,2,1,4112576
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,508,66,395,64,311773637
1172782702,,,,Traced,377,168,375,167,2,1,102642952
1173183902,,,,Traced,14,5,8,1,6,4,1720480
1173184109,,,,Traced,393,186,29,15,361,171,125672046
1173184144,,,,Traced,382,175,6,,375,175,128862685
1173184146,,,,Traced,6,7,5,3,1,4,5399103
1173184187,,,,Traced,384,167,9,5,372,162,114977602
1173524747,,,,Traced,351,175,5,4,346,170,101886174
1173524834,,,,Traced,346,174,3,5,341,167,112225320
1173524922,,,,Traced,19,10,3,2,12,6,6372303
1173524981,,,,Traced,352,168,3,2,349,166,108386027
1173745330,PAM08_a(y4)_R,,PAM08_a,Traced,990,169,137,34,,1,329507895
1173865946,,,,Traced,87,14,52,8,32,5,9985735
1173866070,,,,Traced,362,139,350,135,12,4,86160689
1173866149,,,,Traced,400,200,20,17,348,160,142748783
1200416059,,,,Traced,285,113,1,,283,113,89924682
1200420408,,,,Traced,298,143,15,11,283,132,104019238
1200429271,,,,Traced,325,165,6,4,318,161,107224661
1200753109,,,,Traced,381,173,1,1,380,172,113405456
1200753268,,,,Traced,326,163,27,17,299,145,107446970
1200757385,,,,Traced,357,179,6,3,351,176,107393610
1200757471,,,,Traced,342,160,8,3,333,156,105326174
1200761654,,,,Traced,327,147,1,4,326,143,96715380
1200765789,,,,Traced,302,151,12,7,290,144,105283327
1200766221,,,,Traced,396,188,8,6,386,181,116765351
1200770371,,,,Traced,376,174,12,8,364,166,104430348
1200775428,,,,Traced,398,188,22,11,374,177,122077944
1201093707,,,,Traced,300,118,1,1,290,114,96675313
1201098120,,,,Traced,303,147,2,4,301,143,98460612
1201101806,,,,Traced,348,165,3,5,344,160,102385174
1201102301,,,,Traced,291,123,1,,290,123,96770346
1201106786,,,,Traced,365,185,21,9,344,176,128375209
1201111265,,,,Traced,403,181,7,6,395,174,120441264
1201430650,,,,Traced,363,162,1,,362,162,113531085
1201434658,,,,Traced,347,161,1,1,346,160,113719657
1201455996,,,,Traced,344,166,5,5,337,160,98927959
1201456491,,,,Traced,357,159,3,2,354,156,104449511
1201461519,,,,Traced,307,144,11,12,296,132,84813136
1201788237,,,,Traced,377,175,23,12,354,163,117653059
1201792863,,,,Traced,376,164,3,2,373,162,105694747
1202125326,PAM01_b(y5)_L,,PAM01_b,Traced,1020,151,665,108,20,1,196819019
1202138266,,,,Traced,330,167,8,7,321,159,102378399
1202142924,,,,Traced,389,174,66,34,310,132,119167333
1202458085,,,,Traced,395,173,382,169,13,4,94535096
1202462198,PAM02(B'2a)_L,,PAM02,Traced,1125,202,5,1,570,114,211284785
1202811509,,,,Traced,429,176,400,164,29,12,99871653
1203139367,,,,Traced,417,187,414,186,3,1,102224956
1203195792,,,,Traced,11,10,9,9,2,1,8454190
1203489435,,,,Traced,148,63,142,61,6,2,33943979
1203497917,,,,Traced,255,104,244,101,11,3,47676473
1203533004,,,,Traced,402,172,390,166,3,2,96796018
1203536928,,,,Traced,2,4,2,3,,1,4341329
1203873984,,,,Traced,286,56,3,1,280,53,31014399
1204175786,,,,Traced,393,184,384,178,9,6,103665716
1204206875,,,,Traced,803,165,696,145,106,20,75537667
1204214819,,,,Traced,146,20,24,3,120,17,13722068
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,10,1,170,77,366409907
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,425,149,21,2,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,430,120,3,1,228273943
1204888469,,,,Traced,390,156,387,155,3,1,84431456
1204900887,,,,Traced,401,171,398,168,3,3,97946583
1205216792,,,,Traced,885,362,824,326,43,19,248160128
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,221,52,,1,308877449
1231800234,,,,Traced,277,115,1,1,275,113,104019898
1231813860,,,,Traced,2080,217,441,37,1614,180,291620561
1232473612,,,,Traced,318,156,3,2,314,153,90118002
1233155780,,,,Traced,346,161,3,2,341,158,112768068
1233501275,PAM13(B'1ap)_L,,PAM13,Traced,530,212,1,1,205,96,239615319
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,46,6,550,104,294286432
1233859910,,,,Traced,337,133,337,131,,1,80122258
1234161664,,,,Traced,414,169,408,167,6,2,96034869
1234200934,,,,Traced,421,157,420,156,1,1,87982998
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,167,37,8,2,273212378
1234537126,,,,Traced,473,169,468,168,5,1,101870805
1235236510,,,,Traced,397,159,397,158,,1,89478000
1235245057,,,,Traced,158,22,26,4,132,18,15123469
1235581886,,,,Traced,311,129,303,126,8,3,58160493
1235586005,,,,Traced,404,173,400,172,4,1,95685456
1235931580,,,,Traced,238,94,237,93,1,1,53330910
1236272487,,,,Traced,395,157,388,155,7,2,85149491
1236276874,,,,Traced,325,129,319,127,6,2,79749239
1265213696,,,,Traced,426,172,425,171,1,1,91456945
1265213867,,,,Traced,307,139,305,138,2,1,70634749
1265546189,,,,Traced,389,157,386,156,3,1,91618839
1266578064,,,,Traced,345,157,342,154,,1,94854836
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,386,48,2,2,416278069
1293451424,KCa'B'_L?,,,Traced,211,97,2,3,141,72,88610144
1293844325,,,,Traced,205,77,4,1,201,76,59232989
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,14,1,560,134,267245995
1295912040,,,,Traced,418,142,414,140,3,1,93485498
1297250599,,,,Traced,159,78,156,75,3,3,38199458
1326623074,,,,Traced,53,15,20,7,33,8,17390573
1326938162,,,,Traced,368,135,357,131,11,4,93208363
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,19394,483,269,9,3823216871
1390069856,,,,Traced,131,75,2,1,,1,47405024
1390743534,,,,Traced,297,138,294,137,3,1,82477101
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,8,9,6190229391
1451410055,,,,Traced,450,198,428,190,19,7,100454927
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,53,9,177,25,321368178
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,508,83,15,1,259131792
5812979256,,,,Traced,388,157,2,1,385,155,119374496
5812979269,,,,Traced,299,110,4,3,295,107,86428203
5812979272,,,,Traced,326,163,11,6,315,157,109465227
5812979279,,,,Traced,351,123,5,,346,123,98567093
5812979282,,,,Traced,300,109,6,2,292,107,97067482
5812979285,,,,Traced,372,145,2,,370,145,96274061
5812979444,,,,Traced,381,143,1,1,379,141,111728570
5812979447,,,,Traced,381,134,31,8,350,126,113395194
5812979484,,,,Traced,367,166,29,13,338,153,121248498
5812979486,,,,Traced,367,138,51,34,316,104,114201794
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,621,136,13,1,240183413
5812979569,,,,Traced,1594,148,1568,144,17,4,172615853
5812979582,,,,Traced,293,113,286,108,7,5,75048428
5812979658,,,,Traced,534,243,476,217,52,22,135510842
5812979789,,,,Traced,123,67,1,,1,1,37393428
5812980079,SMP128_R,,SMP128,Traced,1787,542,14,,,1,823342022
5812981369,,,,Traced,355,122,2,3,353,119,109426563
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,742,168,186,65,253723732
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,380,76,9,4,211372631
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,2,2,189,92,311663944
5812982710,,,,Traced,511,121,6,,7,1,211176463
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,186,34,47,2,343660367
5812983399,PAM05(B'2p)_L,,PAM05,Traced,1338,327,46,10,683,198,358512014
5812983522,PAM07(y4<y1y2)_L,,PAM07,Traced,2412,544,2130,503,1,1,481019405
5812983811,CRE066(AVM16)_L,,CRE066,Traced,299,435,25,12,4,3,354635105
5812986274,,,,Traced,493,154,465,146,19,4,98663422
5812988629,,,,Traced,185,52,179,51,6,1,28367160
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,4,,138,1,869209965
5813020473,,,,Traced,315,99,1,,301,95,92980260
5813020479,,,,Traced,396,165,4,4,392,161,121199809
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,905,184,10,7,241663552
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,351,92,13,21,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7,1,806,4,3410455915
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,1423,464,61,13,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,82,18,3,5,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,661,94,267,29,240799955
5813032497,,,,Traced,376,127,374,126,,1,86379520
5813032508,,,,Traced,319,121,5,3,314,118,96391758
5813032573,,,,Traced,544,98,9,2,535,96,61328660
5813032813,PAM13(B'1ap)_L,,PAM13,Traced,680,241,3,,245,100,279564061
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,54,10,679,63,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,473,97,74,25,288587422
5813035387,,,,Traced,127,112,4,2,14,9,109567886
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,3668,75,23,1,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,318,49,432,52,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,49,4,24,15,3046434158
5813045006,,,,Traced,366,135,346,127,14,6,94168751
5813047784,PAM05(B'2p)_L,,PAM05,Traced,420,225,2,,236,120,211723090
5813049097,,,,Traced,336,153,3,,333,153,104520155
5813052909,MBON29(y4y5)(PVL06)_L,,MBON29,Traced,5270,755,2743,66,17,2,1673885779
5813056180,,,,Traced,278,99,1,,274,97,101246071
5813057033,ATL037(PDM33)_L,,ATL037,Traced,1921,1043,1,,1,1,1555658437
5813060737,,,,Traced,418,157,2,,416,157,127479254
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,48,36,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,142,10,181,14,2038784377
5813065587,,,,Traced,527,96,30,4,495,91,56885098
5813068698,,,,Traced,307,152,1,,306,152,109303931
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,936,183,97,24,332652814
5813082654,,,,Traced,238,99,233,97,3,2,69394165
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,341,118,,2,444049069
5813088712,FB4D_L,CRESMPFB4_2,FB4D,Traced,1404,318,1,,6,6,519936683
5813095749,,,,Traced,348,170,4,3,344,167,104493127
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,229,35,86,17,309670626
5813096713,,,,Traced,376,163,10,11,361,147,122988873
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,7,2,346,51,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,194,67,11,3,354860104
5813126042,,,,Traced,165,108,4,3,2,1,97518482
5901198547,,,,Traced,396,39,1,,388,39,44557764
5901209190,,,,Traced,336,152,13,9,323,140,110532276
5901215939,,,,Traced,462,181,457,179,4,1,99001524
5901221380,,,,Assign,10,1,2,,8,1,678985
5901231324,,,,Traced,306,75,302,74,4,1,35383242
7112614701,,,,Orphan,153,37,1,,151,37,21918904
7112614799,,,,Traced,217,69,209,67,7,2,60208868