id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3,3,300,198,6917059458
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,776,1,365,105,686693145
417998204,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,999,229,324,26,606,125,476702093
446714544,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1407,310,538,1,538,94,488272608
478077561,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,617,118,352,1,228,43,331399103
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,373,50,516,133,549640572
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,274,4,505,130,809613851
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,438,,474,133,801363719
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,698,2,388,89,603871773
539810773,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,585,102,293,,249,40,300703583
540493022,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,594,125,248,,311,52,295161410
541119189,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,645,118,311,1,292,53,347051058
569481415,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,890,194,381,3,454,68,506958053
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,621,1,358,92,777549043
570185174,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,820,203,259,4,515,74,519425583
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,625,2,330,98,980591420
570518166,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,520,147,192,,284,41,414900048
571826184,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,277,74,117,4,132,32,190747929
572166953,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,213,54,78,,113,24,176173193
572167406,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,262,63,119,2,122,30,161518101
572167413,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,296,70,100,,164,32,177049794
572494993,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,887,211,320,32,524,112,410291839
601120917,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,935,249,420,44,473,139,324848103
601216096,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,470,116,189,,244,44,313061051
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,132,35,366,99,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,443,47,552,147,602925629
632155800,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,1042,258,382,34,609,146,458330645
632229278,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1425,294,608,,456,79,651552729
632259507,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,148,48,36,1,96,23,124912295
632600726,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,492,99,123,1,312,39,218388914
632911211,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,584,96,126,,308,39,251718573
632915714,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,626,95,197,1,372,37,246213024
633200861,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,153,38,48,,82,15,117650327
633200871,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,159,43,43,,102,22,147362152
633200987,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,191,54,72,,103,27,154184461
633201022,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,167,47,44,,93,20,138906992
633541717,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,143,36,30,,97,14,133694712
633895972,PFNm_b(PB02b)_R3_C8,PFNm_b,PFNm_b,Traced,552,131,174,,176,34,288254893
633943192,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1133,197,552,1,405,75,471084398
634608104,PEN_a(PB06a)_L2,PEN1,PEN_a(PEN1),Traced,2211,584,627,,747,151,1013921359
662840966,PFNm_b(PB02b)_R6_C5,PFNm_b,PFNm_b,Traced,372,83,124,,148,30,169771582
662845370,PFNm_b(PB02b)_R6_C5,PFNm_b,PFNm_b,Traced,402,77,124,,208,25,199812604
662966385,PFNm_b(PB02b)_L6_C5,PFNm_b,PFNm_b,Traced,300,85,70,,162,33,208563249
663190769,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1716,436,563,,488,115,784365297
663225743,PFNm_a(PB02a)_R2_C9,PFNm_a,PFNm_a,Traced,549,96,111,,379,43,238353791
663298610,PFNd(PB04)_L6_C5,,PFNd,Traced,709,183,197,2,323,53,403942805
663558074,PFNa(PB03)_R5_C6,PFNa,PFNa,Traced,860,172,353,,453,61,498211812
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,630,2,336,91,668330517
663898692,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,487,108,216,,238,47,304906560
663950729,PFNm_b(PB02b)_L4_C3,PFNm_b,PFNm_b,Traced,486,93,149,1,235,34,224974171
664235541,PFNd(PB04)_R4_C6,,PFNd,Traced,1046,201,409,,404,73,469484154
664313308,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,183,57,49,3,118,27,75752334
664632485,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,203,50,93,,97,25,84320098
664645558,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1380,410,262,2,432,90,485288832
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,410,2,375,93,428103635
692852666,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,721,140,247,,436,80,245535626
692857189,PFNp_c(PB01c)_R7_C4,PFNp_c,PFNp_c,Traced,624,118,153,,429,49,300907302
693651381,PFNp_c(PB01c)_L7_C6,PFNp_c,PFNp_c,Traced,365,90,65,,265,33,230082549
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,822,4,386,88,916318576
693979726,PFNp_e(PB01a)_L7_C6,PFNp_e,PFNp_e,Traced,326,78,84,1,218,37,207682939
694665957,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,126,34,26,,84,17,116722412
694666271,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,125,37,29,,79,15,121897260
694670373,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,147,56,30,3,108,30,125648610
694985489,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,171,29,35,,99,10,113056251
695270840,PFNd(PB04)_R4_C6,,PFNd,Traced,862,178,349,1,344,64,449980991
695671851,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1077,195,472,,425,86,439202264
696336849,PFNa(PB03)_L3_C2,PFNa,PFNa,Traced,973,200,406,,512,78,502464273
697014740,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,285,60,133,,126,27,165551982
697014777,PFNp_a(PB01a)_L3_C2,PFNp_a,PFNp_a,Traced,223,62,71,,132,30,174778904
697355847,PFNd(PB04)_L3_C2,PFNd,PFNd,Traced,1446,321,604,2,450,86,693721878
723546819,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,274,62,112,,134,28,157796486
723602649,PFNv(PB05)_R2_C9,PFNv,PFNv,Traced,1098,316,292,41,730,193,478849250
724228740,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,434,80,145,,269,36,214732167
724267537,PFNv(PB05)_R5_C6,PFNv,PFNv,Traced,1294,324,569,50,610,160,557959797
724276536,PFNp_c(PB01c)_R2_C9,PFNp_c,PFNp_c,Traced,558,113,153,,368,45,285965169
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,757,3,428,127,838679464
725360291,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,136,28,24,,70,3,102081457
726024758,PFNm_b(PB02b)_L4_C3,PFNm_b,PFNm_b,Traced,470,103,159,,207,34,222400235
727035427,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,205,51,88,,103,26,156225768
727371546,PFNm_b(PB02b)_L3_C2,PFNm_b,PFNm_b,Traced,578,127,194,,217,45,266624585
755644082,PFNm_a(PB02a)_R5_C6,PFNm_a,PFNm_a,Traced,724,125,188,,467,45,306060564
756049717,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,147,53,28,,96,26,133393059
756390536,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,150,55,13,,110,23,129848734
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,569,2,355,97,719023584
757055403,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,331,80,105,1,197,31,189910355
757413552,PFNd(PB04)_L6_C5,PFNd,PFNd,Traced,848,218,219,2,412,88,282580635
757699264,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,185,56,47,,115,25,177574976
758065781,PFNd(PB04)_L2_C1,PFNd,PFNd,Traced,1160,246,455,,436,87,527070739
758069781,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,185,46,52,,118,25,165326826
758069811,PFNp_a(PB01a)_L3_C2,PFNp_a,PFNp_a,Traced,234,62,74,,127,27,155289972
758743604,PFNp_d(PB01a)_L3_C2,PFNp_d,PFNp_d,Traced,198,36,61,,67,5,128832019
759084183,PFNm_b(PB02b)_L2_C1,PFNm_b,PFNm_b,Traced,531,109,161,,237,38,266687013
759084486,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,766,133,371,1,330,59,414490420
785957618,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,196,49,73,,93,21,139162299
786000969,PFNp_c(PB01c)_R5_C6,PFNp_c,PFNp_c,Traced,513,94,171,,311,47,264584805
786013801,PFNd(PB04)_R3_C7,,PFNd,Traced,1597,269,711,,565,83,637182398
786013842,PFNm_b(PB02b)_R2_C9,PFNm_b,PFNm_b,Traced,512,96,144,,269,34,230265683
786013856,PFNd(PB04)_R3_C7,,PFNd,Traced,1465,270,686,1,505,95,603628773
786674282,PFNd(PB04)_R5_C5,,PFNd,Traced,1502,290,587,,561,97,665330862
786679162,PFNp_e(PB01a)_R5_C6,PFNp_e,PFNp_e,Traced,432,90,145,3,265,38,237638751
786989348,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,1139,219,513,,421,87,443263754
786989395,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,925,191,453,,294,60,421709404
788111826,PFNd(PB04)_L6_C5,,PFNd,Traced,865,204,238,,476,90,288862946
789104870,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,214,43,92,,101,22,135628687
816682053,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,204,37,90,,111,22,122767020
816682061,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,233,51,62,,140,24,150665485
816682110,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,151,43,64,,76,21,130083771
817342497,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,282,68,87,1,146,25,146223200
817346903,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1518,311,540,3,641,107,624578000
817674780,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,199,41,88,,91,20,129206928
817683388,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,260,85,103,5,130,39,168352353
818063189,PFNa(PB03)_R2_C9,PFNa,PFNa,Traced,623,131,250,,334,57,370339132
818119357,PFNp_c(PB01c)_L7_C6,PFNp_c,PFNp_c,Traced,506,117,96,,371,42,274134599
819073675,PFNd(PB04)_R4_C6,,PFNd,Traced,1000,178,389,1,432,68,411066455
819138027,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,156,43,54,,90,24,134946976
819138035,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,189,44,87,,83,14,150272681
819138239,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,928,178,424,1,277,44,365427761
847336755,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1567,412,504,,390,98,782298170
847712233,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,187,51,63,,96,23,145745444
847712250,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,304,53,133,1,155,26,174366951
847712342,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,192,48,61,,115,28,147420508
848407278,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,257,55,104,,133,30,172660861
848800043,PFNp_c(PB01c)_L5_C4,PFNp_c,PFNp_c,Traced,489,106,146,,306,50,262799349
848800082,PFNp_c(PB01c)_L5_C4,PFNp_c,PFNp_c,Traced,544,123,141,,363,53,302734668
848817674,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,109,193,1,254,38,286421071
849162653,PFNp_d(PB01a)_L6_C5,PFNp_d,PFNp_d,Traced,87,19,8,,49,1,92814524
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,1067,1,575,142,989164827
849421893,PFNm_b(PB02b)_R5_C6,PFNm_b,PFNm_b,Traced,427,124,133,,184,35,265359039
849482511,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1591,438,568,,368,84,737349791
849763224,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,652,115,271,,349,49,354180079
849832062,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,418,87,168,,211,33,259046164
849832122,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,189,47,87,,88,22,140054048
849844855,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,432,106,131,1,260,40,258428930
850104005,PFNd(PB04)_R4_C6,,PFNd,Traced,1071,187,412,,506,81,477327541
850492366,PFNp_c(PB01c)_L3_C2,PFNp_c,PFNp_c,Traced,505,116,169,,292,48,281676820
850829072,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,202,54,82,,96,26,162438540
850829248,PFNp_c(PB01c)_L2_C1,PFNp_c,PFNp_c,Traced,489,96,115,,319,34,254538077
851170296,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,183,38,51,,107,16,125236748
877702431,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,250,61,83,1,142,29,153717522
878380399,PFNd(PB04)_R6_C4,,PFNd,Traced,969,202,322,,484,83,454496955
878725581,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,238,54,117,3,107,24,137842641
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,385,1,406,102,600285827
879442155,PFNa(PB03)_R5_C6,PFNa,PFNa,Traced,934,200,398,3,478,69,502217851
879748663,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,536,105,225,,283,46,302692993
879779401,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,257,61,87,,149,31,171788398
879844133,PFNp_d(PB01a)_L5_C4,PFNp_d,PFNp_d,Traced,122,29,9,,63,2,118494090
879844144,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,196,47,69,,107,20,132372936
879844178,PFNp_d(PB01a)_L5_C4,PFNp_d,PFNp_d,Traced,167,28,32,,79,6,108237111
879844206,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,206,67,68,5,109,26,145747740
879844210,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,242,67,95,,120,33,151169349
880185131,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,770,169,332,1,378,59,449849872
880526177,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,175,44,72,,83,16,130666707
880526292,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,493,98,144,,314,39,239556831
880526398,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,202,49,68,,101,16,130670870
880526477,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,625,112,287,1,291,46,330939585
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,280,2,480,73,387127398
880875900,PFNm_a(PB02a)_L5_C4,PFNm_a,PFNm_a,Traced,741,122,229,,425,50,300524123
881216816,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,176,57,67,,89,27,120219840
881527223,PFNd(PB04)_L3_C2,PFNd,PFNd,Traced,1355,305,554,,503,94,618600868
881868311,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,119,40,29,,72,19,124863001
909777910,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,883,181,370,5,457,52,489398842
909877092,PFNd(PB04)_L7_C6,,PFNd,Traced,1160,278,257,,646,108,552082947
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,535,1,462,103,1015212407
910447220,PFNd(PB04)_R5_C5,,PFNd,Traced,1405,282,569,1,550,97,658312304
910473088,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,194,61,41,,127,34,154340514
910878587,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,176,50,60,,100,23,136279137
911215499,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,403,78,120,,239,31,219384807
911219981,PFNp_d(PB01a)_L4_C3,PFNp_d,PFNp_d,Traced,138,24,39,,63,3,106419834
911220325,PFNp_d(PB01a)_L4_C3,PFNp_d,PFNp_d,Traced,112,19,9,,72,5,54851035
911220331,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,163,46,68,,82,21,143137002
911500529,PFNp_c(PB01c)_R2_C9,PFNp_c,PFNp_c,Traced,342,71,83,,228,31,201548057
911504643,PFNd(PB04)_R2_C8,,PFNd,Traced,1031,227,349,1,440,79,478031684
911504689,PFNv(PB05)_R3_C8,PFNv,PFNv,Traced,1576,330,684,39,817,188,526575662
911560974,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1076,185,514,,378,76,469089516
911823931,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,136,39,43,,78,17,127899766
911897818,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,957,214,493,31,393,103,419349386
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,362,33,367,94,382389771
912238927,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,313,68,137,3,153,28,187390993
912558136,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,132,38,22,,81,15,109033536
912894972,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,223,54,92,1,114,22,74353202
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,766,54,628,120,631785776
912898873,PFNp_d(PB01a)_L2_C1,PFNp_d,PFNp_d,Traced,124,16,25,,53,1,95689834
913235746,PFNp_e(PB01a)_L2_C1,PFNp_e,PFNp_e,Traced,316,72,115,1,181,40,209241742
916974420,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,96,163,1,278,37,262883335
940791092,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,172,37,64,,70,11,119275043
940791093,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,207,42,52,,100,13,124953130
940791115,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,179,52,59,,87,21,146076844
940791123,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,178,39,50,,98,17,135021179
940791383,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,991,183,448,2,354,64,408413149
940808800,PFNp_e(PB01a)_R7_C4,PFNp_e,PFNp_e,Traced,380,84,131,1,226,41,237152945
941123755,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1592,330,791,,252,77,658115021
941132270,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,560,112,294,,227,42,333056544
941244280,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,530,135,130,,359,61,348045050
942172462,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,180,34,23,,112,13,121738737
942254492,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,212,56,81,1,112,21,169830327
942254554,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,530,86,244,,244,35,276831339
942535218,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,240,45,94,,99,15,127512872
943226223,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,288,67,106,,148,30,189657430
943592738,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,213,50,70,,103,21,139934401
943592989,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,142,33,14,,77,7,115633533
943921248,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,645,147,263,,332,58,379312942
971506655,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,864,188,394,2,435,74,481997001
971817401,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,159,35,67,,83,18,122675710
971817711,PFNv(PB05)_R7_C3,PFNv,PFNv,Traced,1415,342,511,43,799,172,589230506
972624772,PFNm_a(PB02a)_L7_C6,PFNm_a,PFNm_a,Traced,642,126,113,,452,58,293734760
972871918,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,561,102,242,,279,39,303243486
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,438,1,462,106,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,1037,2,317,87,832431327
974627674,PFNd(PB04)_L2_C1,PFNd,PFNd,Traced,1139,250,436,,449,87,513924971
974968796,PFNm_a(PB02a)_L2_C1,PFNm_a,PFNm_a,Traced,548,115,147,,341,49,279350363
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,565,1,560,148,1065119131
1002848124,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1443,299,528,1,542,89,682555606
1003318634,PFNd(PB04)_L7_C6,,PFNd,Traced,1336,307,350,1,624,110,637846497
1003659595,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,196,84,16,1,150,43,175868484
1032643905,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,545,140,206,,293,38,363225756
1034703497,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,147,54,14,,111,25,147176282
1034711992,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,224,67,56,4,153,31,148000552
1035955516,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,392,93,136,2,148,22,212169182
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,839,2,567,125,994963622
1069757725,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,156,36,27,1,88,12,113987135
1094722478,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,298,80,58,,228,38,175772979
1094934199,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1410,281,570,1,539,90,683485050
1125411720,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,480,117,104,,318,44,247192520
1125964630,PEN_a(PB06a)_R8,PEN1,PEN_a(PEN1),Traced,2100,598,618,,584,136,1146383370
1125964651,PFNv(PB05)_R8_C3,PFNv,PFNv,Traced,1191,347,407,53,674,166,607539930
1125964879,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,180,47,65,,83,22,146574800
1125964899,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,150,33,41,,70,6,111011326
1126301255,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,640,141,329,7,276,52,400991774
1126301622,PFNp_c(PB01c)_R8_C3,PFNp_c,PFNp_c,Traced,411,101,117,,269,50,265534016
1126305687,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,167,41,53,,107,22,148659739
1126306451,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1342,293,503,1,500,80,710219740
1126310716,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,416,80,151,,244,43,213817246
1126310776,PFNa(PB03)_R8_C2,PFNa,PFNa,Traced,583,123,208,,316,49,358744120
1126310807,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,188,65,69,4,90,23,158827656
